country_iso,year,protest_count
AR,1992,1
AR,1994,1
AU,2018,2
BE,2016,3
BE,2018,2
BE,2023,1
BR,1993,5
BR,1994,7
BR,1995,8
BR,1996,3
BR,1997,14
BR,1998,6
BR,1999,31
BR,2000,27
BR,2001,14
BR,2002,21
BR,2003,12
BR,2004,12
BR,2005,18
BR,2006,4
BR,2007,9
BR,2008,5
BR,2009,3
BR,2010,2
BR,2011,4
BR,2012,7
BR,2013,10
BR,2014,4
BR,2015,17
BR,2016,58
BR,2017,316
BR,2018,357
BR,2019,636
BR,2020,744
BR,2021,843
BR,2022,1514
BR,2023,2159
BR,2024,1461
CA,1994,3
CA,1995,9
CA,1996,1
CA,1997,1
CA,1998,9
CA,1999,3
CA,2000,8
CA,2001,1
CO,1989,53
CO,1990,100
CO,1991,128
CO,1992,103
CO,1993,47
CO,1994,70
CO,1995,77
CO,1996,150
CO,1997,181
CO,1998,145
CO,1999,394
CO,2000,1334
CO,2001,1365
CO,2002,1908
CO,2003,2264
CO,2004,1745
CO,2005,1291
CO,2006,364
CO,2007,319
CO,2008,336
CO,2009,137
CO,2010,88
CO,2011,60
CO,2012,37
CO,2013,22
CO,2014,48
CO,2015,33
CO,2016,101
CO,2017,155
CO,2018,170
CO,2019,109
CO,2020,144
CO,2021,160
CO,2022,172
CO,2023,413
CO,2024,397
DE,1989,2
DE,1990,1
DE,1992,1
DE,2016,1
DE,2024,1
EG,1990,2
EG,1992,5
EG,1993,43
EG,1994,76
EG,1995,118
EG,1996,75
EG,1997,34
EG,1998,10
EG,1999,2
EG,2000,4
EG,2004,3
EG,2005,4
EG,2006,2
EG,2008,2
EG,2009,2
EG,2010,1
EG,2011,4
EG,2012,2
EG,2013,46
EG,2014,45
EG,2015,60
EG,2016,40
EG,2017,111
EG,2018,86
EG,2019,120
EG,2020,124
EG,2021,64
EG,2022,68
EG,2023,4
ES,1989,12
ES,1990,10
ES,1991,23
ES,1992,15
ES,1993,6
ES,1994,9
ES,1995,10
ES,1996,4
ES,1997,11
ES,1998,6
ES,2000,15
ES,2001,12
ES,2002,4
ES,2003,2
ES,2004,1
ES,2008,2
ES,2009,2
ES,2017,3
ES,2023,1
FR,1992,1
FR,1995,1
FR,1996,1
FR,2007,1
FR,2012,1
FR,2015,2
FR,2016,2
FR,2017,1
FR,2018,8
FR,2023,42
FR,2024,3
ID,1989,5
ID,1990,46
ID,1991,38
ID,1992,14
ID,1993,8
ID,1994,9
ID,1995,21
ID,1996,18
ID,1997,37
ID,1998,30
ID,1999,338
ID,2000,157
ID,2001,107
ID,2002,265
ID,2003,227
ID,2004,359
ID,2005,33
ID,2006,3
ID,2007,1
ID,2008,3
ID,2011,4
ID,2012,1
ID,2013,6
ID,2014,4
ID,2015,3
ID,2017,3
ID,2018,11
ID,2019,22
ID,2020,24
ID,2021,42
ID,2022,33
ID,2023,39
ID,2024,61
IN,1989,119
IN,1990,333
IN,1991,221
IN,1992,240
IN,1993,331
IN,1994,244
IN,1995,226
IN,1996,177
IN,1997,277
IN,1998,386
IN,1999,544
IN,2000,1534
IN,2001,555
IN,2002,1083
IN,2003,919
IN,2004,997
IN,2005,910
IN,2006,932
IN,2007,727
IN,2008,680
IN,2009,843
IN,2010,780
IN,2011,408
IN,2012,428
IN,2013,346
IN,2014,400
IN,2015,321
IN,2016,419
IN,2017,400
IN,2018,480
IN,2019,354
IN,2020,389
IN,2021,277
IN,2022,266
IN,2023,217
IN,2024,234
IT,1993,1
MX,1989,2
MX,1990,3
MX,1992,3
MX,1993,3
MX,1994,12
MX,1995,5
MX,1996,15
MX,1997,6
MX,1998,5
MX,2002,3
MX,2004,31
MX,2005,12
MX,2006,40
MX,2007,1409
MX,2008,384
MX,2009,605
MX,2010,2085
MX,2011,369
MX,2012,266
MX,2013,191
MX,2014,183
MX,2015,258
MX,2016,187
MX,2017,348
MX,2018,714
MX,2019,1024
MX,2020,2033
MX,2021,3744
MX,2022,2179
MX,2023,2748
MX,2024,2683
NG,1990,2
NG,1991,4
NG,1992,12
NG,1993,8
NG,1994,16
NG,1995,1
NG,1996,5
NG,1997,20
NG,1998,31
NG,1999,39
NG,2000,30
NG,2001,41
NG,2002,45
NG,2003,63
NG,2004,87
NG,2005,22
NG,2006,23
NG,2007,22
NG,2008,31
NG,2009,41
NG,2010,92
NG,2011,254
NG,2012,409
NG,2013,334
NG,2014,554
NG,2015,505
NG,2016,434
NG,2017,507
NG,2018,535
NG,2019,524
NG,2020,625
NG,2021,515
NG,2022,471
NG,2023,626
NG,2024,490
NL,1990,1
NL,2015,1
PE,1989,172
PE,1990,140
PE,1991,122
PE,1992,128
PE,1993,72
PE,1994,35
PE,1995,41
PE,1996,25
PE,1997,19
PE,1998,9
PE,1999,16
PE,2000,4
PE,2001,3
PE,2002,6
PE,2003,4
PE,2004,2
PE,2005,1
PE,2006,3
PE,2007,9
PE,2008,13
PE,2009,13
PE,2010,13
PE,2011,11
PE,2013,1
PE,2014,8
PE,2015,4
PE,2016,2
PE,2017,2
PE,2019,1
PE,2020,3
PE,2021,3
PE,2022,3
PE,2023,2
PL,2022,1
SE,2017,1
TH,1989,3
TH,1990,4
TH,1991,1
TH,1992,1
TH,1993,2
TH,1994,1
TH,1995,7
TH,1996,1
TH,1997,3
TH,1998,4
TH,1999,1
TH,2000,1
TH,2001,3
TH,2002,1
TH,2003,16
TH,2004,126
TH,2005,434
TH,2006,445
TH,2007,367
TH,2008,224
TH,2009,169
TH,2010,157
TH,2011,177
TH,2012,141
TH,2013,136
TH,2014,71
TH,2015,55
TH,2016,49
TH,2017,27
TH,2018,40
TH,2019,27
TH,2020,33
TH,2021,28
TH,2022,26
TH,2023,25
TH,2024,32
TR,1989,201
TR,1990,223
TR,1991,158
TR,1992,341
TR,1993,500
TR,1994,638
TR,1995,816
TR,1996,647
TR,1997,498
TR,1998,328
TR,1999,267
TR,2000,33
TR,2001,33
TR,2002,21
TR,2003,43
TR,2004,124
TR,2005,114
TR,2006,92
TR,2007,137
TR,2008,129
TR,2009,47
TR,2010,78
TR,2011,114
TR,2012,141
TR,2013,9
TR,2014,8
TR,2015,232
TR,2016,234
TR,2017,65
TR,2018,181
TR,2019,144
TR,2020,116
TR,2021,82
TR,2022,65
TR,2023,58
TR,2024,28
UK,1989,27
UK,1990,32
UK,1991,32
UK,1992,30
UK,1993,34
UK,1994,16
UK,1996,2
UK,1997,4
UK,1998,3
UK,2000,1
UK,2001,1
UK,2002,4
UK,2003,2
UK,2004,1
UK,2005,2
UK,2006,1
UK,2009,2
UK,2011,1
UK,2019,3
US,2001,3
US,2010,1
US,2015,1
US,2017,1
US,2018,1
US,2019,1
US,2022,1
ZA,1989,279
ZA,1990,562
ZA,1991,448
ZA,1992,574
ZA,1993,576
ZA,1994,263
ZA,1995,39
ZA,1996,37
ZA,1997,20
ZA,1998,23
ZA,1999,11
ZA,2000,1
ZA,2002,3
ZA,2004,4
ZA,2010,1
ZA,2015,1
ZA,2016,3
ZA,2018,3
ZA,2019,6
ZA,2020,18
ZA,2021,12
ZA,2022,4
ZA,2023,5
ZA,2024,2
