iso,top10_share,polarization,palma_ratio,n_individuals
GIN,28.475051505859316,100,1.9999993333335555,1546426
CRI,22.020673557852618,100,1.6666661111112961,488837
BRA,21.94185338247365,100,2.499998750000625,7415771
HND,27.77785482323845,100,1.9999993333335555,173058
CMR,26.140571537141472,100,1.6666661111112961,3600046
USA,23.484800821280444,100,2.499998750000625,14880179
AUT,21.46875023002127,100,2.499998750000625,1358570
BEN,24.149167162033432,100,1.6666661111112961,2814413
NAM,24.73970866415308,100,1.6666661111112961,310844
LBR,23.772206341412087,100,2.499998750000625,456176
KHM,22.182603206522664,100,2.499998750000625,2116436
FRA,20.84397463310203,100,2.499998750000625,3019368
IRN,22.836500965383415,100,1.6666661111112961,1129603
GNQ,29.582883517171243,100,1.9999993333335555,319575
TGO,23.056810717803632,100,1.6666661111112961,2145141
NGA,22.873183770894567,100,1.6666661111112961,6633662
LAO,28.568556267544743,100,1.9999993333335555,337708
IRQ,29.85339186381232,100,1.9999993333335555,3546870
CPV,28.935310728132492,100,1.9999993333335555,178484
TKM,30.14100310992162,100,1.9999993333335555,733459
COL,22.219810268526402,100,2.499998750000625,1250715
COM,29.655547598060817,100,1.9999993333335555,363040
TUN,28.528120130330077,100,1.9999993333335555,2188290
KAZ,22.70199854790484,100,1.6666661111112961,1643143
MLI,21.56640295889656,100,4.999995000005001,2830785
DOM,24.54440322459322,100,1.6666661111112961,4333942
BDI,21.73130398507967,100,2.499998750000625,2998861
KOR,23.096135998424742,100,1.6666661111112961,17429496
LVA,21.776685267256383,100,1.6666661111112961,278665
GMB,25.092982682003225,100,1.6666661111112961,225257
GRC,21.82864416404562,100,2.499998750000625,568793
DNK,21.134531410607504,100,2.499998750000625,1066264
TLS,22.76917330160553,100,2.499998750000625,144563
SWZ,28.577742098567214,100,1.9999993333335555,359998
BWA,28.882661886161355,100,1.9999993333335555,349196
PRT,23.304752085268905,100,1.6666661111112961,1941716
SYR,29.07197007963946,100,1.9999993333335555,1880726
MOZ,29.428587923864903,100,1.9999993333335555,4538091
LSO,23.5373324452796,100,1.6666661111112961,394871
GBR,22.56590556694656,100,1.6666661111112961,8034602
MDG,30.598866073305285,100,1.9999993333335555,2887841
HRV,22.025549712203404,100,1.6666661111112961,241490
CAN,23.389808255662242,100,2.499998750000625,853063
AZE,24.16629314825152,100,1.6666661111112961,727318
LTU,21.15965898081767,100,2.499998750000625,258050
CHL,21.757109952142834,100,2.499998750000625,1256865
MYS,23.164970206282533,100,1.6666661111112961,4783391
TJK,25.304843794345302,100,1.6666661111112961,2223319
URY,22.492859194745673,100,2.499998750000625,1225352
MAR,28.54205043699175,100,1.9999993333335555,5158793
DJI,29.401353879041597,100,1.9999993333335555,561350
JPN,24.844344656008424,100,2.99999850000075,14618483
SWE,21.29250086955509,100,2.499998750000625,1374266
MNG,22.983818270923713,100,1.6666661111112961,1101860
BLR,22.469323657361347,100,1.6666661111112961,1281525
MRT,27.798462169242175,100,1.9999993333335555,495113
PNG,23.099907394812995,100,2.499998750000625,1073374
SEN,28.489939443890673,100,1.9999993333335555,3766094
ZMB,24.780190386367096,100,1.6666661111112961,3596476
ITA,21.797710230767834,100,2.499998750000625,3852790
PHL,26.173843051899997,100,1.6666661111112961,13226436
CHN,22.761568917182725,100,2.99999850000075,31864499
AUS,22.709185074444715,100,1.6666661111112961,524416
KWT,22.981271530322573,100,1.6666661111112961,1739117
BFA,28.705689281260177,100,1.9999993333335555,1302168
SVN,21.861129631393467,100,1.6666661111112961,104990
EGY,24.17968636676186,100,1.6666661111112961,5894337
ESP,22.25957809410402,100,2.499998750000625,1830740
IND,24.528505872022468,100,1.6666661111112961,179036270
VUT,27.596928499496475,100,1.9999993333335555,39720
DEU,22.083405743713758,100,2.499998750000625,17976244
ZWE,22.87538794430292,100,1.6666661111112961,2887979
