year,homicide_rate_per_100k,gini,unemployment_pct,youth_unemployment_pct
1980,,40.8,,
1986,,42.8,,
1987,,45.3,,
1991,,46.8,5.44,11.639
1992,,45.5,6.36,13.805
1993,,44.8,10.1,22.213
1994,,45.9,11.76,25.805
1995,,48.9,18.8,40.705
1996,,49.5,17.11,37.024
1997,,49.1,14.82,32.271
1998,,50.7,12.65,27.741
1999,,49.8,14.05,30.518
2000,,51.0,15.0,32.346
2001,8.31631763979875,53.3,17.32,37.025
2002,9.38748649102565,53.8,19.59,41.353
2003,7.72167974407433,51.0,15.36,32.924
2004,6.02330247756233,48.5,13.522,29.544
2005,5.6047423259877,47.8,11.506,26.207
2006,5.32783270151026,46.4,10.078,23.777
2007,5.34525993519266,46.3,8.47,20.242
2008,5.86530605419315,45.0,7.837,18.927
2009,6.46679948327286,43.8,8.645,21.184
2010,5.7739778082346,43.7,7.714,19.381
2011,6.01715853502966,42.7,7.18,18.71
2012,6.28057846262278,41.4,7.217,18.34
2013,7.2142387373598,41.1,7.1,19.555
2014,7.50277667235654,41.8,7.268,19.137
2015,6.52528743235621,,7.577,20.267
2016,5.97945616037571,42.3,8.088,21.799
2017,5.23155985787317,41.4,8.347,22.843
2018,5.33872203870925,41.7,9.22,23.845
2019,5.13191495105041,43.3,9.843,25.842
2020,5.35272149985868,42.7,11.461,30.429
2021,4.62126366336244,42.4,8.736,23.373
2022,4.31202462020709,40.7,6.805,19.004
2023,4.49291137824536,42.4,6.139,17.946
2024,,42.4,7.15,19.228
