year,homicide_rate_per_100k,gini,unemployment_pct,youth_unemployment_pct
1981,,31.3,,
1985,,32.5,,
1989,,33.2,,
1990,2.18377608517614,,,
1991,1.95929365734864,,9.586,17.476
1992,1.71516925030892,,10.733,19.272
1993,1.87892384044585,,10.879,18.536
1994,1.7879658555513,,9.724,16.872
1995,1.96735685247661,32.6,8.473,15.196
1996,1.93386535571719,,8.509,15.641
1997,1.96704523731198,,8.367,15.839
1998,1.78593227563009,,7.684,14.458
1999,2.03596185527632,,6.876,13.111
2000,1.89207133777963,,6.288,12.084
2001,1.79185252403083,33.5,6.747,13.476
2002,1.86778958584828,,6.375,12.794
2003,1.52375535865531,33.5,5.933,11.962
2004,1.31193813318786,33.1,5.399,11.366
2005,1.27620846840694,,5.036,10.619
2006,1.36470308152627,,4.785,10.026
2007,1.21691956283382,,4.381,9.36
2008,1.2213046917262,35.4,4.242,8.814
2009,1.20736293068024,,5.565,11.461
2010,1.04328595693519,34.7,5.214,11.548
2011,1.10321388892905,,5.083,11.37
2012,1.06333429077178,,5.225,11.728
2013,1.05438607284246,,5.663,12.22
2014,1.02985300162206,34.4,6.078,13.311
2015,0.985468432815397,,6.055,13.11
2016,0.933005940041915,33.7,5.711,12.642
2017,0.841048385412525,,5.592,12.592
2018,0.879787384450029,34.3,5.345,11.935
2019,0.882951478402183,,5.143,11.452
2020,0.858459424254959,33.8,6.394,14.142
2021,0.743554074825619,,5.022,11.134
2022,0.839663105025691,,3.728,8.468
2023,0.854406035826682,,3.668,8.388
2024,,,3.942,9.408
