year,homicide_rate_per_100k,gini,unemployment_pct,youth_unemployment_pct
1985,,25.2,,
1988,,25.7,,
1990,1.04078369840703,,,
1991,1.02242863470673,,6.984,13.958
1992,1.20397149301638,24.9,6.702,13.204
1993,1.43490345712787,,8.078,18.431
1994,1.18623897545331,,9.645,21.866
1995,1.40077229903727,28.4,9.337,21.539
1996,1.18145476364776,,9.483,20.495
1997,1.42415668316462,26.8,8.95,21.278
1998,,,9.322,20.394
1999,,,8.649,22.58
2000,2.06794627670662,33.1,6.586,15.249
2001,2.74132280198769,,6.178,15.332
2002,3.08720442799957,,6.91,15.652
2003,,28.1,7.68,18.982
2004,,30.5,7.363,17.502
2005,,29.3,8.44,21.482
2006,,28.1,8.246,20.511
2007,,29.2,7.459,18.841
2008,,28.4,6.976,17.97
2009,,28.6,7.908,21.94
2010,,28.4,8.293,22.391
2011,,28.1,7.14,18.724
2012,,27.5,7.542,19.738
2013,,27.7,8.425,23.689
2014,,28.1,8.523,23.225
2015,,27.7,8.482,22.125
2016,,27.6,7.83,20.108
2017,,27.4,7.09,19.236
2018,,27.2,5.941,15.748
2019,,27.2,5.364,14.236
2020,,26.0,5.545,15.326
2021,1.08030153549307,26.6,6.248,18.206
2022,,26.4,5.57,16.41
2023,,26.8,5.547,16.119
2024,,,5.7,17.343
