year,homicide_rate_per_100k,gini,unemployment_pct,youth_unemployment_pct
1981,,57.9,,
1982,,58.4,,
1983,,58.9,,
1984,,58.3,,
1985,,55.5,,
1986,,58.4,,
1987,,59.6,,
1988,,61.4,,
1989,,63.2,,
1990,19.6463430965049,60.5,,
1991,18.5523881422863,,6.887,12.752
1992,16.8315196406125,53.1,7.086,13.119
1993,17.865892961495,60.1,6.03,11.406
1994,18.7432334815665,,6.579,12.354
1995,21.0220886836161,59.5,7.092,13.261
1996,23.6865994083929,59.8,8.035,14.628
1997,24.3049302659348,59.8,9.003,16.616
1998,24.7990574348239,59.6,10.15,19.251
1999,25.0021056965213,59.0,11.125,20.639
2000,26.0748466246634,,10.889,20.327
2001,27.2006084949971,58.4,10.649,20.019
2002,27.848196026942,58.1,10.641,20.603
2003,28.2710884352715,57.6,11.168,21.382
2004,26.4918363852054,56.5,10.072,20.034
2005,25.7693915381983,56.3,10.551,21.399
2006,26.3403064568888,55.6,9.692,19.883
2007,25.3144591379199,54.9,9.28,18.795
2008,26.3359303856077,54.0,8.268,17.556
2009,26.7914479705158,53.7,9.419,19.774
2010,26.9945684769237,,8.42,18.239
2011,26.7470983503833,52.9,7.578,16.928
2012,28.6413621085766,53.4,7.251,15.854
2013,28.6404106359245,52.7,7.071,15.7
2014,29.8537931807395,52.0,6.755,15.496
2015,28.8503019791216,51.9,8.538,19.493
2016,30.1193623667804,53.4,11.58,26.596
2017,31.1611756216413,53.3,12.792,28.593
2018,27.1606152370358,53.9,12.329,27.958
2019,21.2445602088385,53.5,11.936,27.098
2020,21.8129091470528,48.9,13.697,30.267
2021,20.5048626655709,52.9,13.158,28.311
2022,20.0811754127452,52.0,9.231,20.732
2023,19.2752957673079,51.6,7.947,17.938
2024,,,6.801,15.674
