year,homicide_rate_per_100k,gini,unemployment_pct,youth_unemployment_pct
1971,,37.2,,
1973,,34.9,,
1975,,34.1,,
1977,,33.7,,
1979,,33.5,,
1981,,33.0,,
1982,,32.9,,
1984,,33.5,,
1985,,33.2,,
1986,,31.7,,
1987,,31.7,,
1988,,31.2,,
1989,,31.0,,
1990,2.36420719847115,31.4,,
1991,2.67782712086616,31.9,10.316,15.832
1992,2.57192445510508,31.6,11.197,17.212
1993,2.17130131394599,31.7,11.377,17.187
1994,2.04478059204049,31.3,10.395,15.894
1995,1.99259098999575,31.5,9.489,14.832
1996,2.12986066159284,32.8,9.62,15.402
1997,1.94949354586228,33.1,9.1,16.254
1998,1.84306153027948,33.2,8.278,15.139
1999,1.76146925228784,33.1,7.583,14.053
2000,1.76745915413225,33.4,6.829,12.669
2001,1.77486867333404,33.6,7.219,12.869
2002,1.84553461879682,33.6,7.665,13.618
2003,1.72443676408719,33.8,7.574,13.624
2004,1.9450604450874,33.8,7.185,13.443
2005,2.04684481799773,33.6,6.758,12.393
2006,1.85596882167745,34.1,6.484,11.617
2007,1.8040520550306,33.8,6.156,11.022
2008,1.83562569798247,33.9,6.284,11.379
2009,1.80332678612386,34.0,8.46,15.059
2010,1.62880268220815,33.6,8.178,14.575
2011,1.76238467720832,32.7,7.637,13.915
2012,1.57205168149969,33.5,7.392,14.036
2013,1.44219466327057,33.8,7.143,13.243
2014,1.47330111088167,33.2,7.023,13.203
2015,1.69900457240782,33.7,6.945,12.759
2016,1.69447965211893,32.7,7.038,12.597
2017,1.80664809278477,33.3,6.426,11.236
2018,1.77503663024043,32.5,5.837,10.709
2019,1.82357460879594,31.7,5.69,10.744
2020,2.00409191032713,29.9,9.657,20.125
2021,2.08300518200199,31.1,7.527,13.557
2022,2.27195104620383,,5.279,10.082
2023,1.97968887560784,,5.415,10.806
2024,,,6.351,13.276
