year,homicide_rate_per_100k,gini,unemployment_pct,youth_unemployment_pct
1987,,56.2,,
1990,,57.2,,
1991,,,5.23,11.845
1992,,54.8,4.35,10.233
1993,,,4.49,10.515
1994,,56.4,5.87,12.816
1995,,,4.7,10.766
1996,,54.9,7.414,17.891
1997,,,7.136,17.586
1998,,55.5,7.307,17.857
1999,,,11.158,25.342
2000,,52.8,10.491,24.745
2001,,,10.39,24.559
2002,,,10.168,24.977
2003,3.20129769251024,51.5,9.765,24.725
2004,,,10.162,24.52
2005,3.52319921168418,,9.34,23.407
2006,3.57376612166027,47.7,9.024,22.111
2007,3.6949106294991,,8.427,21.64
2008,3.4918963063576,,9.285,23.763
2009,3.70376238471268,47.4,11.313,26.739
2010,3.14874215608169,,8.547,19.058
2011,3.66532251337043,46.9,7.492,18.003
2012,2.47729352143792,,6.79,16.927
2013,3.14355060592079,46.8,6.361,16.682
2014,2.4518317226161,,6.761,16.976
2015,2.32163505387454,45.3,6.605,15.813
2016,3.39405749254204,,6.926,15.799
2017,4.19745439747334,45.3,7.257,17.732
2018,4.36665251518391,,7.623,18.138
2019,4.81306553520039,,7.493,18.953
2020,5.75613878004137,47.0,10.934,24.377
2021,4.65658124495601,,9.281,20.477
2022,6.80201256720408,43.0,8.249,18.287
2023,6.34829073035101,,9.013,21.973
2024,,,8.718,20.988
