year,homicide_rate_per_100k,gini,unemployment_pct,youth_unemployment_pct
1980,,55.1,,
1988,,53.1,,
1989,,52.8,,
1990,74.9998416310372,,,
1991,85.8773343009539,51.3,10.12,19.112
1992,83.4819991124854,51.3,9.44,18.041
1993,82.5777689589525,,7.8,14.874
1994,77.0879503653693,,8.25,15.713
1995,62.3410428739553,,8.72,16.411
1996,64.0379653259786,56.8,11.81,21.88
1997,62.4980646140821,,12.14,22.474
1998,61.0946739886429,,15.0,27.606
1999,63.3339923743845,58.5,20.06,36.503
2000,67.8921586309151,58.4,20.52,37.389
2001,70.1095871523678,57.3,15.04,27.488
2002,70.3960948977152,56.0,14.481,26.895
2003,57.4608630160922,53.6,13.221,25.154
2004,48.6481875848116,55.0,13.717,26.324
2005,42.9894132012747,53.9,11.062,22.595
2006,40.9429758324124,,11.088,22.328
2007,39.7776140409658,,11.204,22.195
2008,36.8840024517578,55.3,11.273,22.804
2009,35.7272410703666,54.3,12.066,23.542
2010,34.5241750628259,54.6,11.153,22.572
2011,35.6322084408409,53.5,10.288,21.169
2012,35.9613009153726,52.6,9.959,20.086
2013,33.4159707994424,52.6,9.246,18.729
2014,28.654305199833,52.5,8.799,18.245
2015,27.2152782480106,51.0,8.572,17.316
2016,26.1438669043183,50.6,8.922,18.274
2017,25.5510587151196,49.7,9.086,18.467
2018,23.8207594532571,50.4,9.36,19.45
2019,23.3990612924966,51.3,10.28,20.658
2020,22.6427030734102,53.5,15.983,27.248
2021,25.5801274097033,55.1,13.898,24.757
2022,24.9488076386337,54.8,10.541,20.972
2023,24.9134420347488,53.9,9.591,19.365
2024,,,9.619,19.411
