year,homicide_rate_per_100k,gini,unemployment_pct,youth_unemployment_pct
1990,1.16801384915652,,,
1991,1.40343106642978,29.5,5.316,5.512
1992,1.43077958781143,29.1,6.323,5.972
1993,1.65425621686023,28.6,7.675,7.672
1994,2.38340932371506,29.2,8.727,8.96
1995,2.47744783321797,28.8,8.158,8.464
1996,2.33761906350592,28.0,8.822,9.63
1997,2.1847407558703,28.2,9.861,10.666
1998,1.95337413007635,28.3,9.787,9.79
1999,1.62344247009,29.0,8.854,8.883
2000,1.66753754956225,28.9,7.917,8.545
2001,1.44140608883251,29.9,7.773,7.787
2002,1.42807834640079,29.8,8.482,9.285
2003,1.33598638063576,29.8,9.779,11.024
2004,1.3545661001062,30.2,10.727,12.984
2005,1.27244558514126,31.7,11.193,15.463
2006,1.20927315205162,31.0,10.277,13.402
2007,1.09227050411144,31.2,8.732,11.824
2008,1.02452477446076,30.8,7.508,10.929
2009,0.992150728625981,30.5,7.88,11.309
2010,0.981060169496516,30.2,7.043,10.416
2011,0.91271260058552,30.6,5.967,8.927
2012,0.814420905242925,31.1,5.372,8.119
2013,0.841543300830081,31.5,5.316,7.825
2014,0.87986543465844,30.8,4.979,7.612
2015,0.83092148321361,31.7,4.612,7.328
2016,1.163604165425,31.4,4.104,7.079
2017,0.97829217789703,31.3,3.781,6.77
2018,0.945201062768242,31.9,3.384,6.22
2019,0.745579302641966,31.8,3.163,5.859
2020,0.935085587265765,32.4,3.881,7.862
2021,0.830375419597212,,3.594,6.665
2022,0.815829208272123,,3.137,6.049
2023,0.910722780231795,,3.071,6.02
2024,,,3.4,6.604
