year,homicide_rate_per_100k,gini,unemployment_pct,youth_unemployment_pct
1980,,34.5,,
1985,,34.4,,
1990,1.23821991144539,32.0,,
1991,1.12112292990316,,15.929,30.683
1992,1.11812855629451,,17.697,33.014
1993,1.19489728995844,35.7,22.156,42.199
1994,1.07630148338555,35.1,24.209,44.892
1995,1.02614708919709,35.7,22.675,41.813
1996,0.986644952856265,36.5,22.142,41.761
1997,1.14536412263401,35.3,20.698,39.019
1998,1.28516221990896,34.6,18.673,35.397
1999,1.19080123686025,33.8,15.475,29.101
2000,1.34813027799556,34.1,13.785,25.258
2001,1.3989371157037,,10.348,20.72
2002,1.35071366537132,,11.146,21.544
2003,1.38096386713923,31.8,11.283,22.328
2004,1.20274134358143,33.3,11.09,22.48
2005,1.17837383727999,32.4,9.146,19.642
2006,1.06498542161369,33.5,8.452,17.886
2007,1.0589564792395,34.1,8.232,18.087
2008,0.880284469874308,34.2,11.254,24.443
2009,0.883453221366359,34.9,17.857,37.71
2010,0.856097274768039,35.2,19.86,41.453
2011,0.819183054272952,35.7,21.39,46.158
2012,0.774166283792877,35.4,24.789,52.829
2013,0.644467548060687,36.2,26.094,55.444
2014,0.691349965151574,36.1,24.441,53.169
2015,0.646906930185419,36.2,22.057,48.353
2016,0.629108853827649,35.8,19.635,44.445
2017,0.655022828665732,34.7,17.224,38.594
2018,0.613681647994712,34.7,15.255,34.362
2019,0.69779523479218,34.3,14.104,32.555
2020,0.69421884953507,34.9,15.532,38.312
2021,0.607512242916661,33.9,14.914,34.999
2022,0.679512839473507,33.6,13.033,29.713
2023,0.690855954769765,33.4,12.179,28.747
2024,,,11.4,26.631
