year,homicide_rate_per_100k,gini,unemployment_pct,youth_unemployment_pct
1970,,37.1,,
1975,,35.9,,
1979,,34.0,,
1984,,33.4,,
1990,2.37760015691108,32.1,,
1991,2.36592102904818,,9.134,19.486
1992,2.33168800485519,,10.203,21.396
1993,2.62797009819845,,11.32,25.199
1994,2.42414351074412,,12.593,28.395
1995,2.29584021763191,,11.834,26.753
1996,2.00580187184137,32.0,12.367,27.23
1997,1.64422406112757,31.9,12.566,28.568
1998,1.63494276577466,31.7,12.074,25.904
1999,1.61295208990693,32.5,11.981,26.074
2000,1.76687009797043,32.6,10.218,20.484
2001,1.74776357833476,32.5,8.61,17.91
2002,1.85488321960253,31.8,8.702,18.846
2003,1.62492873135846,31.4,8.306,17.178
2004,1.61830161158403,30.6,8.914,19.667
2005,1.58377199706769,29.8,8.882,21.225
2006,1.41660322639846,29.7,8.832,22.447
2007,1.59051931320511,32.4,8.008,19.644
2008,1.62630919084507,33.0,7.386,19.214
2009,1.29780685062321,32.7,9.122,24.006
2010,1.25517676645729,33.7,9.279,23.592
2011,1.34308688468283,33.3,9.228,23.018
2012,1.22388195514924,33.1,9.841,24.949
2013,1.20675158408277,32.5,9.913,24.363
2014,1.2242533397519,32.3,10.273,24.828
2015,1.55892963521539,32.7,10.354,25.262
2016,1.19686224509648,31.9,10.057,24.938
2017,1.08754298245582,31.6,9.409,22.572
2018,1.06227847973755,32.4,9.018,20.953
2019,1.14560504750237,31.2,8.415,19.929
2020,1.04999178555921,30.7,8.009,20.398
2021,1.11071518973766,31.5,7.871,19.252
2022,1.23873280289769,31.2,7.303,17.856
2023,1.33506280409367,31.8,7.335,17.419
2024,,,7.4,18.603
