year,homicide_rate_per_100k,gini,unemployment_pct,youth_unemployment_pct
1968,,26.8,,
1969,,27.9,,
1970,,28.0,,
1971,,29.3,,
1972,,28.8,,
1973,,28.8,,
1974,,29.0,,
1975,,27.9,,
1976,,27.6,,
1977,,27.1,,
1978,,27.2,,
1979,,27.4,,
1980,,28.5,,
1981,,29.7,,
1982,,29.9,,
1983,,29.8,,
1984,,29.2,,
1985,,30.4,,
1986,,31.9,,
1987,,33.9,,
1988,,34.3,,
1989,,33.4,,
1990,1.27246170811834,35.7,,
1991,1.38997016985018,35.0,8.55,13.845
1992,1.38428635572783,35.0,9.772,15.613
1993,1.34978569430064,35.1,10.346,17.403
1994,1.42233524586565,36.0,9.648,16.27
1995,1.39111870783059,35.5,8.694,15.454
1996,1.281335140925,35.3,8.189,14.83
1997,1.25412576150713,35.7,7.072,13.464
1998,1.38332593669012,36.6,6.198,12.315
1999,1.40043985028414,36.8,6.042,12.293
2000,1.54256868130426,38.8,5.558,11.874
2001,1.62595894048872,37.1,4.696,10.191
2002,1.85923045695602,35.1,5.037,10.779
2003,,34.9,4.807,11.236
2004,,34.8,4.594,10.618
2005,1.37797628851015,35.5,4.884,13.053
2006,1.4119320989405,35.9,5.472,14.233
2007,1.42031017055268,34.4,5.399,14.611
2008,1.22526681051353,35.4,5.748,15.352
2009,1.12468797208048,35.1,7.683,19.479
2010,1.19987652699167,33.7,7.973,20.328
2011,1.00772665754522,33.2,8.195,21.689
2012,0.980292769516879,33.1,8.279,22.106
2013,0.9349366699991,32.7,7.752,20.944
2014,0.900318736728248,33.1,6.398,17.512
2015,0.948271629655268,33.3,5.552,15.177
2016,1.17310761427578,33.1,4.909,13.205
2017,1.17550481262973,32.6,4.501,12.519
2018,1.09059626628076,33.7,4.145,11.647
2019,1.15033375026475,32.8,3.657,10.688
2020,0.94577935310667,32.6,4.472,13.365
2021,1.11868407522333,32.4,4.864,12.891
2022,,,3.768,10.589
2023,,,4.025,11.944
2024,,,4.361,14.316
