year,homicide_rate_per_100k,gini,unemployment_pct,youth_unemployment_pct
1990,1.01379472430973,,,
1991,1.33894214256357,,7.572,23.858
1992,1.32240728899315,,8.927,26.963
1993,1.44054157448601,,10.177,30.392
1994,1.27075007073922,,9.808,28.926
1995,1.43546567005422,37.0,10.116,30.27
1996,1.59885261038705,,10.402,31.52
1997,1.91106937511326,,10.472,32.096
1998,1.6486487777658,,12.227,32.178
1999,1.44482396707554,,12.138,31.316
2000,,34.4,11.345,28.957
2001,1.21735690880249,,10.764,27.816
2002,0.863154597737589,35.5,10.346,26.711
2003,,32.8,9.839,26.499
2004,1.01394257823949,33.6,10.628,26.57
2005,1.20203980691416,34.6,10.074,25.811
2006,0.99853818548455,35.1,8.906,24.658
2007,1.17692468944918,34.0,8.351,22.731
2008,1.30000599447209,33.6,7.664,21.61
2009,1.36837464729468,33.6,9.546,25.469
2010,1.58206940071031,34.1,12.719,33.005
2011,1.65633803374762,34.8,17.973,44.951
2012,1.50249393628294,36.3,24.731,55.656
2013,1.39502562128674,36.1,27.686,58.491
2014,0.982267185579143,35.8,26.708,52.645
2015,0.859447721666469,36.0,24.981,49.731
2016,0.779545903374914,35.0,23.514,47.223
2017,0.799737128265793,34.4,21.413,43.392
2018,0.922574259889262,32.9,19.179,40.011
2019,0.727708640014711,33.1,17.045,34.754
2020,0.72901495405944,33.6,15.899,33.74
2021,0.841244735958326,32.9,14.656,35.39
2022,1.12365161805833,33.4,12.426,31.29
2023,0.839605274224601,33.4,11.023,26.543
2024,,,10.02,22.375
