year,homicide_rate_per_100k,gini,unemployment_pct,youth_unemployment_pct
1987,,20.9,,
1989,,25.0,,
1990,1.93617724055442,,,
1991,2.95813060021337,29.6,8.5,16.78
1992,2.94075846885409,,9.942,19.57
1993,2.87731718173541,27.9,12.098,23.83
1994,3.02709774730736,33.3,10.847,21.8
1995,2.86744240025079,,10.168,19.484
1996,2.63049716881822,,10.022,19.97
1997,2.8116665482167,,8.991,17.482
1998,2.8190401090393,26.4,8.925,15.936
1999,2.47558769644657,30.2,6.929,12.874
2000,2.01165790099003,27.2,6.563,12.862
2001,2.49835492180838,26.9,5.671,11.036
2002,2.00227539364808,26.8,5.608,11.754
2003,2.25542422106006,30.9,5.79,13.171
2004,2.07222219853654,29.9,5.832,14.604
2005,1.62929455718258,34.7,7.189,19.653
2006,1.7313531031967,28.3,7.494,19.364
2007,1.53476927609169,27.9,7.406,18.147
2008,1.8069900965961,27.5,7.817,19.602
2009,1.38980848439085,27.0,10.03,26.393
2010,1.38288629112252,29.4,11.172,26.392
2011,1.45777335776427,29.2,11.029,25.957
2012,1.2504256741433,30.8,11.003,28.185
2013,1.55723130947025,31.5,10.177,26.545
2014,1.48030354739537,30.9,7.725,20.378
2015,2.24611505942905,30.4,6.813,17.272
2016,2.05901168254688,30.3,5.115,12.923
2017,1.63505483999481,30.6,4.156,10.699
2018,0.879849987623273,,3.667,10.115
2019,0.66527835015882,,3.411,11.472
2020,0.820558561392627,,4.248,12.882
2021,0.772570691377117,,4.021,13.549
2022,0.970642654757226,,3.583,10.541
2023,0.722657964901225,,4.096,12.779
2024,,,4.5,15.088
