year,homicide_rate_per_100k,gini,unemployment_pct,youth_unemployment_pct
1984,,32.3,,
1987,,30.4,,
1990,,31.1,,
1991,,,2.617,7.843
1992,,,2.734,8.22
1993,,31.8,2.782,8.545
1994,,,4.366,13.083
1995,,,4.611,13.991
1996,,34.2,4.861,14.932
1997,,,4.684,14.943
1998,0.837833916521102,30.9,5.459,16.745
1999,0.98119915381385,30.8,6.358,19.278
2000,1.02000302761334,30.3,6.077,19.147
2001,,31.2,6.082,19.035
2002,,30.2,6.604,21.434
2003,0.726511653296908,29.3,6.657,21.436
2004,0.62256871069078,30.4,7.303,23.617
2005,,29.9,7.945,26.302
2006,,31.5,7.551,24.616
2007,,33.2,8.06,22.861
2008,,32.6,7.208,19.644
2009,,33.4,6.106,19.106
2010,,34.6,5.614,17.691
2011,,37.9,5.153,18.393
2012,,37.1,4.468,15.673
2013,,38.9,4.336,15.977
2014,,38.8,4.049,15.977
2015,,38.2,4.514,17.224
2016,,36.9,4.301,15.997
2017,,36.4,3.783,14.553
2018,,36.3,4.387,16.369
2019,,35.4,3.59,13.577
2020,,35.3,4.255,14.773
2021,,35.5,3.827,13.8
2022,0.303768746039586,35.5,3.462,14.054
2023,,36.1,3.308,13.015
2024,,34.9,3.301,13.075
