year,homicide_rate_per_100k,gini,unemployment_pct,youth_unemployment_pct
1977,,29.7,,
1983,,27.2,,
1987,,27.5,,
1990,5.10559748651998,,,
1991,5.49524644015231,,7.641,20.182
1992,5.50280867727189,,7.649,20.257
1993,5.19965773114987,26.1,7.662,20.35
1994,5.04248055851768,,7.593,20.265
1995,4.83036026191718,,7.57,20.202
1996,4.7885099027111,,7.537,20.118
1997,4.74591109090452,,7.574,20.185
1998,4.83888188255162,,7.596,20.224
1999,4.60217795989072,,7.583,20.19
2000,4.55297901231507,,7.589,20.198
2001,4.30652763410509,,7.611,20.422
2002,4.16690817646815,,7.681,20.761
2003,3.96945564811633,,7.633,20.855
2004,4.09246015023157,27.7,7.598,20.988
2005,3.9054234629053,,7.551,21.117
2006,3.83338811896998,,7.553,21.472
2007,3.80976850285027,,7.562,21.863
2008,3.80808186808269,,7.629,22.417
2009,3.7391329622536,27.8,7.636,22.862
2010,3.73628378136533,,7.631,23.299
2011,3.77728016164146,28.8,7.609,23.641
2012,3.71306379435684,,7.645,24.135
2013,3.54043488192346,,7.678,24.473
2014,3.60868879736221,,7.656,24.709
2015,3.341278725169,,7.629,24.959
2016,3.14894003612781,,7.611,25.23
2017,3.07665739913599,,7.626,25.591
2018,3.0299149142336,,7.652,26.003
2019,2.94997162020176,,6.51,22.947
2020,2.93529734667461,,7.859,24.666
2021,2.92249230234054,,6.38,20.824
2022,2.81530423021647,25.5,4.822,17.732
2023,,,4.172,15.595
2024,,,4.173,15.746
