year,homicide_rate_per_100k,gini,unemployment_pct,youth_unemployment_pct
1977,,34.0,,
1978,,33.3,,
1979,,33.3,,
1980,,32.9,,
1981,,31.6,,
1982,,29.2,,
1983,,29.8,,
1984,,31.3,,
1986,,31.2,,
1987,,34.2,,
1989,,32.1,,
1990,3.14563261130983,,,
1991,3.39550878435906,31.0,10.097,28.461
1992,2.58380791474806,,9.321,28.106
1993,1.87333513571146,35.1,10.212,30.105
1994,1.68756125246512,,11.086,31.783
1995,1.76296351100176,35.2,11.661,33.458
1996,1.66718882215848,,11.864,34.76
1997,1.52651001019431,,11.985,34.592
1998,1.55378306019741,36.7,12.117,33.796
1999,1.43079765038568,,11.681,32.959
2000,1.33747271243561,35.2,10.834,31.46
2001,1.23722291409081,,9.599,27.806
2002,1.12154817534866,34.7,9.211,27.171
2003,,34.9,8.869,26.983
2004,,34.3,7.866,24.424
2005,1.04238414237751,33.8,7.73,24.113
2006,1.06374952167439,33.7,6.777,21.792
2007,1.06752438557289,32.9,6.076,20.384
2008,1.03254300197422,33.8,6.723,21.217
2009,0.984909015398894,33.8,7.749,25.352
2010,0.879260233986606,34.7,8.363,27.91
2011,0.914393555930683,35.1,8.359,29.145
2012,0.87557696185202,35.2,10.655,35.294
2013,0.827647126909968,34.9,12.149,40.022
2014,0.782999237037301,34.7,12.683,42.669
2015,0.774242762514025,35.4,11.896,40.316
2016,0.668010320924807,35.2,11.688,37.758
2017,0.622616360456986,35.9,11.211,34.726
2018,0.595578796289962,35.2,10.538,32.185
2019,0.527189893600108,34.6,9.884,29.102
2020,0.475691584209703,35.2,9.192,29.629
2021,0.50728829294141,34.8,9.497,29.665
2022,0.540095240763765,33.7,8.069,23.704
2023,0.568072449338316,34.3,7.627,22.727
2024,,,6.5,20.246
