year,homicide_rate_per_100k,gini,unemployment_pct,youth_unemployment_pct
1990,0.547813038978693,,,
1991,0.51578066666879,,2.059,4.462
1992,0.541067647465003,,2.158,4.354
1993,0.572733291050931,,2.539,5.105
1994,0.599424390556901,,2.89,5.452
1995,0.576099822503167,,3.15,6.098
1996,0.517561767782069,,3.383,6.734
1997,0.562305291398125,,3.374,6.65
1998,0.612410126937131,,4.078,7.732
1999,0.580434481076274,,4.677,9.3
2000,0.533741479197123,,4.748,9.212
2001,0.547696989948495,,5.02,9.603
2002,0.519278415107055,,5.386,10.062
2003,0.545933396760037,,5.251,10.199
2004,0.546880856818189,,4.734,9.573
2005,0.502684120166819,,4.446,8.705
2006,0.48360414937829,,4.192,8.301
2007,0.448130523589302,,3.888,7.871
2008,0.510315592739754,34.6,4.002,7.314
2009,0.394718973722555,33.0,5.068,9.205
2010,0.362756174607419,31.5,5.102,9.46
2011,0.345052544691282,33.0,4.55,8.325
2012,0.335344134410932,32.5,4.358,8.236
2013,0.289687941924583,31.5,4.038,6.809
2014,0.309836473839101,31.3,3.589,6.299
2015,0.285207237530428,30.7,3.385,5.471
2016,0.284680826905949,31.8,3.132,5.12
2017,0.240822214259524,31.8,2.822,4.611
2018,0.26317151259777,32.9,2.467,3.668
2019,0.251776994076062,33.0,2.351,3.938
2020,0.251772416452194,32.3,2.809,4.679
2021,0.226767585297115,,2.808,4.707
2022,0.231204479818001,,2.614,4.434
2023,0.229153196964695,,2.6,4.116
2024,,,2.5,3.93
