year,homicide_rate_per_100k,gini,unemployment_pct,youth_unemployment_pct
1990,0.471927627916195,,,
1991,0.487307198226096,,2.407,7.16
1992,0.53701944266852,,2.513,7.485
1993,0.682661899987434,,2.878,8.785
1994,0.495289536990376,,2.476,7.123
1995,0.502942515384837,,2.063,6.164
1996,0.539859337441754,,2.048,6.007
1997,0.603759904845466,,2.608,7.468
1998,0.817013515783673,,6.963,15.718
1999,0.827274200757047,,6.342,13.896
2000,0.791086129840636,,4.063,10.002
2001,0.865486201280152,,3.699,9.359
2002,0.783818725484695,,3.046,7.902
2003,0.81369986339581,,3.348,9.424
2004,0.880428906223651,,3.42,9.798
2005,0.858964633866176,,3.482,9.321
2006,0.865877155391301,31.7,3.254,8.916
2007,0.893348650348504,,3.013,7.853
2008,0.888451063800414,32.3,2.959,8.65
2009,1.09643755353408,,3.363,9.221
2010,0.993727389936438,32.0,3.324,8.54
2011,0.820312091704541,,2.992,8.298
2012,0.877023564282435,31.6,2.812,7.738
2013,0.702999427944201,,3.067,8.943
2014,0.745957747469183,31.2,3.082,8.594
2015,0.73552614730237,,3.546,9.899
2016,0.693986349015599,35.2,3.65,10.145
2017,0.584621875068617,34.9,3.653,9.781
2018,0.59836299503258,33.7,3.824,10.12
2019,0.573715197653771,33.2,3.746,9.827
2020,0.593924062354197,32.7,3.931,10.143
2021,0.472531479878428,32.9,3.639,8.055
2022,0.49630655708926,,2.857,6.638
2023,0.477306316584835,,2.675,5.405
2024,,,2.784,6.434
