year,homicide_rate_per_100k,gini,unemployment_pct,youth_unemployment_pct
1984,,48.5,,
1989,,50.1,,
1990,17.4993603611294,,,
1991,17.9176802336618,,3.145,5.553
1992,19.2853005228938,52.3,3.235,5.587
1993,18.2992621284592,,3.365,5.574
1994,17.7449486456044,53.4,4.436,7.368
1995,17.182014381969,,7.095,11.621
1996,15.6891033012258,52.0,5.465,9.586
1997,14.4137694382077,,4.235,7.649
1998,14.2882186700123,53.3,3.733,6.695
1999,12.6127898786382,,2.598,4.231
2000,10.8866310831903,53.4,2.646,5.228
2001,10.2748177070264,,2.627,4.975
2002,9.93415725652767,50.6,3.003,6.093
2003,9.79524704840011,,3.455,7.099
2004,8.93632612354424,50.3,3.937,8.2
2005,9.37610715749773,50.9,3.558,6.878
2006,9.74512148491559,49.7,3.566,6.98
2007,8.15173722925145,,3.628,7.124
2008,12.6895495806052,50.8,3.874,7.594
2009,17.6812940453664,,5.356,10.012
2010,22.6686472946558,47.7,5.303,9.704
2011,23.6134785680132,,5.175,9.765
2012,22.2285552341782,49.6,4.892,9.357
2013,19.4881727966757,,4.921,9.398
2014,16.7050327254596,48.9,4.819,9.418
2015,17.1484302942078,,4.311,8.516
2016,20.0889396309777,46.9,3.853,7.621
2017,25.9959360229634,,3.419,6.849
2018,29.4484283285099,46.0,3.275,6.815
2019,29.150867187807,,3.477,7.16
2020,29.0010048931398,44.6,4.44,8.053
2021,27.9675034061893,,4.019,7.626
2022,25.8814968854168,43.5,3.256,6.465
2023,24.8589948436701,,2.765,5.844
2024,,,2.678,5.76
