year,homicide_rate_per_100k,gini,unemployment_pct,youth_unemployment_pct
1985,,38.7,,
1991,,,3.831,7.426
1992,,44.9,3.79,7.242
1993,,,4.023,7.556
1994,,,4.064,7.58
1995,,,4.152,7.7
1996,,51.9,4.043,7.542
1997,,,3.964,7.452
1998,,,3.922,7.41
1999,,,3.986,7.552
2000,,,3.953,7.571
2001,,,3.9,7.539
2002,,,3.669,7.219
2003,,40.1,3.637,7.233
2004,,,3.59,7.228
2005,,,3.727,7.538
2006,,,3.749,7.687
2007,,,3.794,7.859
2008,,,3.792,7.921
2009,,,3.763,7.836
2010,,35.7,3.744,7.861
2011,,,3.77,7.896
2012,,35.5,3.761,7.861
2013,,,3.711,7.713
2014,,,3.9,8.044
2015,,35.9,4.134,8.457
2016,32.4390092901434,,4.499,9.1
2017,,,4.83,9.707
2018,,35.1,5.069,10.138
2019,21.099298161443,,5.206,10.418
2020,,,5.714,10.842
2021,,,5.404,8.991
2022,,33.9,3.827,6.024
2023,15.7466808233499,,3.074,5.131
2024,,,3.045,5.088
