year,homicide_rate_per_100k,gini,unemployment_pct,youth_unemployment_pct
1983,,28.4,,
1987,,26.8,,
1990,0.898151125968822,31.1,,
1991,1.16792443990765,,7.285,10.81
1992,1.26335482236609,,5.555,7.943
1993,1.2475860509483,30.4,6.287,10.125
1994,1.10426245955154,,7.159,11.019
1995,1.23995886291917,,7.157,11.819
1996,1.34910253032172,,6.421,11.101
1997,1.32285042212284,,5.511,9.505
1998,1.11201623897532,,4.394,8.528
1999,1.27351102095183,28.1,3.622,7.203
2000,1.12088359004318,,2.725,5.191
2001,1.24824619864232,,2.119,4.325
2002,1.19719664433762,,2.554,4.54
2003,1.23419738555447,,3.593,6.529
2004,1.16282145658851,29.8,4.646,7.913
2005,1.05674155563289,29.0,5.872,11.538
2006,0.776046758999861,30.0,5.007,9.759
2007,0.86502275645006,29.6,4.153,9.098
2008,0.903763742179582,29.3,3.658,8.315
2009,0.923031739705049,27.9,4.352,9.87
2010,0.858612976325238,27.8,4.991,10.765
2011,0.848611455055905,27.8,4.977,9.777
2012,0.857217506852641,27.6,5.821,11.454
2013,0.736721493873159,28.1,7.241,12.942
2014,0.722251091061564,28.6,7.419,12.529
2015,0.607922883579319,28.2,6.872,11.104
2016,0.546362553519554,28.2,6.007,10.64
2017,0.762328497745067,28.5,4.837,8.716
2018,0.574010651743461,28.1,3.832,7.046
2019,0.712758090417298,29.2,3.379,6.606
2020,0.686068183497271,26.0,3.82,8.879
2021,0.710637312796065,25.7,4.209,9.335
2022,0.798685419651381,,3.526,7.647
2023,0.690893081283378,,3.535,8.272
2024,,,3.7,8.778
