year,homicide_rate_per_100k,gini,unemployment_pct,youth_unemployment_pct
1985,,45.6,,
1991,,,4.926,5.993
1992,,,5.068,6.078
1993,,,4.795,5.906
1994,,44.0,4.491,5.7
1995,,,4.708,5.831
1996,,,4.929,5.927
1997,,53.3,4.762,5.774
1998,,55.1,5.099,6.023
1999,,54.8,5.011,5.993
2000,,49.1,4.959,5.948
2001,,51.3,5.068,6.069
2002,,53.6,4.84,5.935
2003,,53.1,4.15,6.364
2004,,49.9,4.71,7.737
2005,,50.4,4.87,8.43
2006,,50.3,4.17,7.153
2007,,50.0,4.08,7.541
2008,,47.5,4.03,7.432
2009,,47.0,3.96,7.11
2010,,45.5,3.6,6.843
2011,5.5180019181967,44.7,3.477,7.001
2012,6.65981599009637,44.4,3.238,6.848
2013,6.75097413739705,43.9,3.575,7.008
2014,6.89338555748064,43.1,3.208,7.55
2015,7.37746900609372,43.4,3.272,6.877
2016,7.88881315592262,43.6,3.741,8.272
2017,7.9394377010568,43.3,3.691,8.319
2018,7.68710269227761,42.4,3.492,8.342
2019,7.3499267457301,41.5,3.379,7.405
2020,5.79501314909191,43.7,7.179,12.659
2021,8.60480803979216,40.1,5.097,9.586
2022,,40.3,4.291,7.681
2023,,40.7,4.899,8.846
2024,,40.1,5.199,9.704
