year,homicide_rate_per_100k,gini,unemployment_pct,youth_unemployment_pct
1985,,25.1,,
1986,,28.0,,
1987,,25.5,,
1989,,26.8,,
1990,1.78423829119899,,,
1991,2.22525405442468,,13.621,27.524
1992,2.24148158532643,29.3,13.645,27.497
1993,2.36324011082264,26.7,14.393,29.736
1994,2.39148895941217,,14.825,32.025
1995,2.2233999841573,34.6,13.695,30.695
1996,2.27585734681098,32.6,12.684,28.081
1997,2.10439521324408,,10.964,22.378
1998,1.98035630053945,32.3,9.935,20.895
1999,1.93534675125864,32.3,12.29,28.755
2000,2.23482252627397,33.0,14.928,32.91
2001,2.02889838935666,32.8,18.435,40.387
2002,1.87290370805637,34.1,20.211,43.322
2003,,34.9,19.899,42.659
2004,,38.0,18.822,39.98
2005,,35.8,17.592,36.945
2006,,34.7,13.794,29.538
2007,,34.0,9.551,21.387
2008,0.857987263994944,33.5,7.069,17.101
2009,1.01836330071281,33.4,8.131,20.471
2010,1.00799699931893,33.2,9.578,23.576
2011,1.10446216454824,33.2,9.576,25.523
2012,1.0693406632409,33.0,10.031,26.322
2013,0.797192575262003,33.1,10.293,27.167
2014,0.750030452020356,32.8,8.971,23.732
2015,0.778752821607014,31.8,7.475,20.686
2016,0.67950291225801,31.2,6.141,17.592
2017,0.750229542138962,29.7,4.867,14.762
2018,0.713892149018161,30.2,3.835,11.686
2019,0.661855188726895,28.8,3.267,9.835
2020,0.69686389242182,28.5,3.155,10.836
2021,0.717659927064458,28.5,3.268,11.817
2022,0.703386223722305,28.9,2.811,10.56
2023,0.802314721828908,28.5,2.743,11.176
2024,,,2.807,10.662
