year,homicide_rate_per_100k,gini,unemployment_pct,youth_unemployment_pct
1990,1.55031373802425,,,
1991,1.52523293783729,,3.919,8.613
1992,1.43235243994931,,3.985,9.58
1993,1.402392472514,,5.301,12.103
1994,1.43021646326171,,6.709,14.648
1995,1.08655014894958,,7.064,16.067
1996,1.05287738974611,,7.298,17.093
1997,1.12753493219435,,6.571,14.208
1998,1.23037242241284,,4.64,9.487
1999,1.06707167094564,,4.579,9.171
2000,1.12805303055093,,3.806,8.245
2001,1.01406904912049,,3.829,8.954
2002,1.14279743752163,,4.497,10.448
2003,,38.8,6.132,13.492
2004,,38.9,6.319,14.048
2005,1.28534783916604,38.5,7.582,16.217
2006,,38.1,7.649,16.502
2007,,36.8,7.965,16.727
2008,,36.6,7.553,16.663
2009,,34.9,9.432,20.308
2010,1.1721711445495,35.8,10.771,22.753
2011,1.07984686066494,36.3,12.715,30.305
2012,1.16045143463187,36.0,15.509,37.978
2013,1.37689714793445,36.2,16.237,38.452
2014,0.884088459392736,35.6,13.88,34.663
2015,0.96429532624377,35.5,12.405,31.786
2016,0.637904765071273,35.2,11.058,27.799
2017,0.735661094098411,33.8,8.878,23.802
2018,0.784476811591817,33.5,6.966,20.235
2019,0.705776821960449,32.8,6.422,18.326
2020,0.78106023430457,34.7,6.85,22.46
2021,0.789147831496343,34.6,6.712,23.424
2022,0.719971949892832,36.3,6.138,19.183
2023,,33.9,6.498,20.463
2024,,,6.5,21.766
