year,homicide_rate_per_100k,gini,unemployment_pct,youth_unemployment_pct
1975,,24.3,,
1981,,22.9,,
1987,,23.1,,
1990,1.10999884034332,,,
1991,1.33457754644069,,3.243,7.795
1992,1.31524699502116,24.9,5.722,13.446
1993,1.23881112672625,,9.33,22.347
1994,1.13892751751386,,9.58,22.245
1995,0.985690269832145,25.2,8.897,19.199
1996,1.11986801393953,,9.547,20.903
1997,0.983548289507778,,10.359,21.208
1998,1.03947655124504,,8.941,17.024
1999,1.14025259304447,,7.607,15.828
2000,1.08204358809711,27.0,5.466,9.29
2001,0.977965262336652,26.5,4.73,11.668
2002,1.13164676508968,26.2,4.965,12.924
2003,0.948826864882924,25.3,5.555,14.312
2004,1.18970734144495,26.1,6.693,18.522
2005,0.919181722281867,26.8,7.81,22.829
2006,1.00213388442621,26.4,7.066,21.475
2007,1.2133435654997,27.1,6.161,19.26
2008,0.889380578965065,28.1,6.235,20.206
2009,1.00013550222933,27.3,8.351,25.024
2010,0.970332147893121,27.7,8.61,24.76
2011,0.857210073297811,27.6,7.804,22.782
2012,0.714324244275151,27.6,7.976,23.608
2013,0.906191475133898,28.8,8.052,23.518
2014,0.89723711300655,28.4,7.954,22.821
2015,1.14291761252879,29.2,7.432,20.363
2016,1.06819519352472,29.6,6.99,18.894
2017,1.12349926472939,28.8,6.718,17.873
2018,1.06138286689242,30.0,6.365,17.398
2019,1.07985845098683,29.3,6.833,20.092
2020,1.19764105277864,28.9,8.291,23.891
2021,1.08485573554827,29.8,8.803,24.555
2022,1.10609575089503,31.6,7.417,21.597
2023,1.14675703743944,29.3,7.611,21.941
2024,,,8.4,24.336
