year,homicide_rate_per_100k,gini,unemployment_pct,youth_unemployment_pct
1981,,45.2,,
1988,,43.8,,
1990,9.76281172192889,45.3,,
1991,10.0394591713935,,2.63,5.088
1992,10.5408837302963,47.9,1.35,2.689
1993,9.54957043277724,,1.49,2.949
1994,8.59210539748611,43.5,1.347,2.71
1995,7.6855090378549,,1.1,2.369
1996,7.46661418786202,42.9,1.071,2.526
1997,7.8831333955031,,0.873,2.24
1998,8.71386668032668,41.5,3.404,7.664
1999,8.10927378042329,43.1,2.968,8.065
2000,8.16089242263043,42.8,2.389,6.816
2001,7.88673994165525,,2.6,7.87
2002,7.06122860880889,41.9,1.82,5.756
2003,9.91857847562255,,1.54,5.188
2004,6.52844364057858,42.5,1.51,4.595
2005,7.27989678542343,,1.35,4.809
2006,7.04095366870716,41.8,1.22,4.842
2007,6.60930214643831,39.8,1.18,4.548
2008,5.87697421098978,40.3,1.18,4.874
2009,5.43590911946787,39.6,1.49,5.729
2010,5.32812691440829,39.4,0.622,2.598
2011,4.79225300638159,37.5,0.66,2.947
2012,,39.3,0.58,2.758
2013,,37.8,0.249,1.231
2014,,37.0,0.576,3.113
2015,,36.0,0.597,3.094
2016,,36.7,0.688,3.714
2017,,36.4,0.83,4.373
2018,,36.4,0.765,4.011
2019,,34.9,0.716,4.19
2020,,35.0,1.099,5.199
2021,,34.9,1.215,5.858
2022,,34.3,0.94,5.208
2023,,33.5,0.733,4.491
2024,,,0.781,4.66
