year,homicide_rate_per_100k,gini,unemployment_pct,youth_unemployment_pct
1987,,41.0,,
1991,,,8.21,15.242
1992,,,8.509,16.248
1993,,,8.962,17.715
1994,,41.3,8.577,16.021
1995,,,7.644,15.538
1996,,,6.629,13.491
1997,,,6.841,14.32
1998,,,6.888,14.109
1999,,,7.687,14.925
2000,,,6.495,12.944
2001,,,8.381,16.048
2002,,41.4,10.358,18.944
2003,4.18240847006562,42.2,10.542,20.253
2004,4.24827062656029,41.3,10.838,20.333
2005,4.76708660324403,42.6,10.636,19.685
2006,4.52278419997034,39.6,10.227,18.89
2007,5.08688366199539,38.4,10.285,19.807
2008,4.55127664672389,39.0,10.965,20.304
2009,,39.0,14.026,25.093
2010,4.17741645852185,38.8,11.879,21.578
2011,4.1244918510834,40.0,9.789,18.208
2012,4.27675507086876,40.2,9.21,17.342
2013,,40.2,9.713,18.442
2014,,41.2,9.901,17.698
2015,2.79325328973375,42.9,10.304,18.299
2016,3.31161155785991,41.9,10.899,19.369
2017,3.05836302689691,43.5,10.919,20.469
2018,2.55994219861376,42.4,10.956,20.011
2019,2.39580104761995,43.8,13.73,25.039
2020,2.49036807460102,43.0,13.148,24.919
2021,2.49751250926437,44.4,11.969,22.36
2022,2.62122678525057,44.5,10.465,19.289
2023,3.22789482308636,,9.388,17.306
2024,,,8.8,16.287
