year,homicide_rate_per_100k,gini,unemployment_pct,youth_unemployment_pct
1991,,,23.137,43.491
1992,,,23.463,44.065
1993,,59.3,23.361,44.322
1994,59.0058123963542,,23.067,43.892
1995,60.3414054621735,,22.705,42.81
1996,56.4456925288109,,22.5,42.142
1997,53.6187769339318,,22.549,42.093
1998,54.3593478699825,,22.739,42.637
1999,48.371149061953,,22.884,43.108
2000,46.1368317963984,57.8,22.788,43.185
2001,44.9998733885833,,22.652,43.21
2002,44.8839287192482,,22.579,43.35
2003,40.8739335231162,,22.679,43.796
2004,38.3597777084255,,22.567,43.863
2005,37.4378416502353,64.8,22.472,43.93
2006,38.213316830898,,22.304,43.868
2007,36.4150322955323,,22.26,44.044
2008,35.379325145242,63.0,22.407,44.577
2009,32.4134564386112,,23.523,47.473
2010,30.3625716702744,63.4,24.683,50.451
2011,29.3498251398405,,24.639,49.745
2012,30.1454561488805,,24.727,51.322
2013,31.132729039924,,24.561,51.205
2014,32.026354388996,63.0,24.89,51.194
2015,32.9193156001477,,25.149,50.115
2016,33.2101800798263,,26.536,53.452
2017,35.2840163787516,,27.035,53.396
2018,35.8657632618552,,26.906,53.634
2019,35.7874756270719,,28.468,57.317
2020,32.9775673780065,,29.217,59.607
2021,40.9429825270973,,34.007,65.451
2022,43.7202551331462,,33.268,61.676
2023,,,32.098,60.259
2024,,,32.279,60.248
