year,homicide_rate_wb,pew_trust_government_pct,sti_combined_rate_per_100k,ucdp_conflict_count,youth_unemployment_pct,tertiary_enrollment_pct,birth_rate_per_1000,acled_protest_count
1960,,,,15.0,,,23.7,
1961,,,,21.0,,,23.3,
1962,,,,20.0,,,22.4,
1963,,,,20.0,,,21.7,
1964,,77.0,,25.0,,,21.1,
1965,,,,27.0,,,19.4,
1966,,65.0,,28.0,,,18.4,
1967,,,,33.0,,,17.8,
1968,,62.0,,26.0,,,17.6,
1969,,,,29.0,,,17.9,
1970,,54.0,,26.0,,,18.4,
1971,,,,29.0,,,17.2,
1972,,53.0,,26.0,,,15.6,
1973,,,,26.0,,,14.8,
1974,,36.0,,28.0,,,14.8,
1975,,,,30.0,,,14.6,
1976,,34.0,,32.0,,,14.6,
1977,,,,36.0,,,15.1,
1978,,29.0,,38.0,,,15.0,
1979,,30.0,,41.0,,,15.6,
1980,,27.0,,41.0,,,15.9,
1981,,,,42.0,,,15.8,
1982,,33.0,,44.0,,,15.9,
1983,,,,43.0,,,15.6,
1984,,41.0,,42.0,,,15.6,
1985,,42.0,,38.0,,,15.8,
1986,,44.0,,44.0,,,15.6,
1987,,43.0,,47.0,,,15.7,
1988,,41.0,,39.0,,,16.0,
1989,,41.0,,41.0,,,16.4,279.0
1990,9.25037955939706,35.0,,49.0,,,16.7,562.0
1991,9.63187233852536,46.0,,53.0,13.508,,16.2,448.0
1992,9.15233015234456,25.0,,51.0,14.308,,15.8,574.0
1993,9.33849837151796,25.0,,44.0,13.426,,15.4,576.0
1994,8.78652102623221,20.0,,50.0,12.554,,15.0,263.0
1995,8.05575436588861,21.0,,41.0,12.186,,14.6,39.0
1996,7.25280570053619,29.0,302.4,41.0,12.094,,14.4,37.0
1997,6.65818273718576,27.0,320.9,39.0,11.43,,14.2,20.0
1998,6.14734210977422,31.0,351.6,40.0,10.424,,14.3,23.0
1999,5.56772173977322,34.0,384.6,40.0,9.891,,14.2,11.0
2000,5.53707946956534,34.0,383.6,40.0,9.278,,14.4,1.0
2001,6.69516821550341,49.0,390.3,39.0,10.492,,14.1,3.0
2002,5.65304262610104,46.0,401.3,33.0,11.935,,14.0,3.0
2003,,36.0,421.09999999999997,33.0,12.362,,14.1,2.0
2004,,39.0,433.1,33.0,11.791,,14.0,4.0
2005,,31.0,461.70000000000005,33.0,11.24,80.6348266601562,14.0,2.0
2006,5.79419136382991,32.0,491.1,33.0,10.43,,14.3,1.0
2007,5.67445011466685,28.0,489.1,35.0,10.472,,14.3,137.0
2008,5.39888580801544,25.0,512.9,38.0,12.76,,14.0,129.0
2009,4.9992946235203,21.0,507.29999999999995,37.0,17.517,,13.5,2.0
2010,4.73280651793807,22.0,526.8,31.0,18.361,,13.0,1.0
2011,4.66754631709583,18.0,557.6,37.0,17.272,,12.7,1.0
2012,4.68473058437162,19.0,562.8,33.0,16.211,,12.6,141.0
2013,4.47313924865612,22.0,552.7,39.0,15.558,88.7264175415039,12.4,9.0
2014,4.38357348743573,19.0,566.8000000000001,46.0,13.411,88.6268692016602,12.5,8.0
2015,4.87019612648983,18.0,602.7,54.0,11.634,88.8894119262695,12.4,1.0
2016,5.28982026159524,27.0,640.5,54.0,10.432,88.8350524902344,12.2,3.0
2017,5.20582704229048,19.0,700.6999999999999,53.0,9.238,88.1673889160156,11.8,1.0
2018,4.88693701574911,18.0,715.8,52.0,8.607,88.2991790771484,11.6,3.0
2019,4.93472178525416,17.0,738.8,57.0,8.375,87.8887100219727,11.4,6.0
2020,6.35465593745812,24.0,681.2,57.0,14.891,87.5676574707031,10.9,18.0
2021,6.77972198500888,21.0,709.5,54.0,9.704,84.8550872802734,11.0,12.0
2022,6.51267429794199,20.0,689.4,56.0,8.105,79.361930847168,11.0,4.0
2023,5.76340794073065,19.0,675.2,59.0,7.953,,10.7,5.0
2024,,18.0,,61.0,8.92,,,2.0
2025,,17.0,,,,,,
