year,position,velocity,acceleration,saddle_score_phase1
1974,0.0,,,0
1975,0.0,0.0,,1
1976,0.0,0.0,0.0,1
1977,0.0,0.0,0.0,1
1978,0.0,0.0,0.0,1
1979,0.0,0.0,0.0,1
1980,0.0,0.0,0.0,1
1981,0.0,0.0,0.0,1
1982,0.0,0.0,0.0,1
1983,0.0,0.0,0.0,1
1984,0.0,0.0,0.0,1
1985,0.0,0.0,0.0,1
1986,0.0,0.0,0.0,1
1987,5.0,5.0,5.0,0
1988,-0.30949223029509554,-5.3094922302950955,-10.309492230295096,0
1989,-0.3042903097251024,0.005201920569993135,5.314694150865089,1
1990,5.0,5.304290309725102,5.299088389155109,0
1991,-1.3319524273731957,-6.331952427373196,-11.636242737098298,0
1992,2.6538474784708574,3.985799905844053,10.31775233321725,0
1993,-2.8575028993128493,-5.511350377783707,-9.49715028362776,0
1994,5.0,7.857502899312849,13.368853277096555,0
1995,-2.1811616147965536,-7.181161614796554,-15.038664514109403,0
1996,5.0,7.181161614796554,14.362323229593107,0
1997,2.430710647394535,-2.569289352605465,-9.750450967402019,0
1998,5.0,2.569289352605465,5.13857870521093,0
1999,5.0,0.0,-2.569289352605465,1
2000,5.0,0.0,0.0,1
2001,3.705348965223182,-1.2946510347768179,-1.2946510347768179,0
2002,3.4766714118536104,-0.22867755336957174,1.0659734814072461,1
2003,3.221613997808605,-0.25505741404500526,-0.02637986067543352,0
2004,3.026922578933018,-0.19469141887558727,0.060365995169417985,2
2005,1.3018206218844766,-1.7251019570485413,-1.530410538172954,0
2006,2.1943777397709505,0.892557117886474,2.6176590749350153,0
2007,0.7175073426041534,-1.4768703971667971,-2.369427515053271,0
2008,1.247600116022337,0.5300927734181835,2.0069631705849806,0
2009,3.723376854071482,2.475776738049145,1.9456839646309616,0
2010,-0.3096327708628719,-4.033009624934354,-6.508786362983499,0
2011,0.7330024133743382,1.0426351842372101,5.075644809171564,0
2012,-1.8173424435124232,-2.5503448568867615,-3.5929800411239716,0
2013,-0.2830376636571934,1.5343047798552298,4.084649636741991,0
2014,-1.8118221864873925,-1.528784522830199,-3.063089302685429,0
2015,-1.1145398852690986,0.6972823012182938,2.226066824048493,0
2016,-1.2057125827858721,-0.09117269751677348,-0.7884549987350673,1
2017,1.0193797728375378,2.22509235562341,2.3162650531401834,0
2018,0.26998579446501836,-0.7493939783725194,-2.9744863339959293,0
2019,0.7560157172552238,0.4860299227902054,1.2354239011627248,0
2020,4.669872274200753,3.913856556945529,3.4278266341553234,0
2021,1.3469362358039918,-3.3229360383967608,-7.23679259534229,0
2022,3.0250485362831494,1.6781123004791576,5.001048338875918,0
2023,2.6944246795203375,-0.3306238567628119,-2.0087361572419695,0
2024,1.3800778311454192,-1.3143468483749183,-0.9837229916121064,0
