year,position,velocity,acceleration,saddle_score_phase1
1974,0.0,,,0
1975,0.0,0.0,,1
1976,0.0,0.0,0.0,1
1977,0.0,0.0,0.0,1
1978,0.0,0.0,0.0,1
1979,0.0,0.0,0.0,1
1980,5.0,5.0,5.0,0
1981,-0.3553345272593642,-5.355334527259364,-10.355334527259364,0
1982,-0.34752402342847155,0.007810503830892657,5.363145031090257,1
1983,-0.34020690871988446,0.007317114708587091,-0.0004933891223055653,2
1984,-0.33333333333333837,0.006873575386546094,-0.0004435393220409978,2
1985,-0.32686022523031344,0.006473108103024927,-0.00040046728352116645,2
1986,-0.3207501495498022,0.006110075680511251,-0.00036303242251367607,2
1987,-0.31497039417436845,0.005779755375433737,-0.00033032030507751386,2
1988,5.0,5.3149703941743685,5.309190638798935,0
1989,4.691690110319371,-0.3083098896806291,-5.623280283854998,0
1990,5.0,0.3083098896806291,0.6166197793612582,0
1991,5.0,0.0,-0.3083098896806291,1
1992,5.0,0.0,0.0,1
1993,4.440688443245696,-0.5593115567543041,-0.5593115567543041,0
1994,3.73584848445406,-0.7048399587916361,-0.14552840203733197,0
1995,2.7236009879661616,-1.0122474964878982,-0.30740753769626217,0
1996,2.937381794559978,0.21378080659381649,1.2260283030817147,0
1997,2.5991035780364546,-0.3382782165235234,-0.5520590231173399,0
1998,2.53872155188016,-0.06038202615629462,0.2778961903672288,2
1999,2.876388807943666,0.3376672560635061,0.39804928221980074,0
2000,2.970775165739634,0.09438635779596805,-0.24328089826753807,2
2001,2.7123456387988796,-0.2584295269407546,-0.35281588473672265,0
2002,2.590882638523868,-0.12146300027501145,0.13696652666574316,2
2003,1.849219897770701,-0.7416627407531671,-0.6201997404781556,0
2004,1.4209019608400473,-0.4283179369306538,0.3133448038225133,1
2005,1.0243823546745903,-0.396519606165457,0.03179833076519678,1
2006,0.801676404560129,-0.22270595011446126,0.17381365605099575,1
2007,0.735070278422211,-0.06660612613791805,0.1560998239765432,2
2008,0.7072336742100873,-0.02783660421212364,0.038769521925794415,2
2009,0.6612784206289666,-0.045955253581120736,-0.018118649368997097,1
2010,0.5640385565419823,-0.09723986408698426,-0.051284610505863526,1
2011,0.5734162059818084,0.009377649439826108,0.10661751352681037,1
2012,0.5590492003584178,-0.01436700562339066,-0.02374465506321677,1
2013,0.38883598181735124,-0.17021321854106652,-0.15584621291767586,1
2014,0.11907307359855679,-0.26976290821879445,-0.09954968967772793,0
2015,0.01667904720563751,-0.10239402639291928,0.16736888182587517,2
2016,-0.022622168770467077,-0.039301215976104587,0.06309281041681469,2
2017,-0.05314826291069341,-0.030526094140226334,0.008775121835878252,2
2018,-0.1237899764588688,-0.07064171354817539,-0.040115619407949055,1
2019,-0.10417522927680345,0.01961474718206535,0.09025646073024074,1
2020,0.08472725961241956,0.188902488889223,0.16928774170715766,1
2021,0.1757677407234306,0.09104048111101104,-0.09786200777821197,2
2022,0.008057631914327956,-0.16771010880910264,-0.2587505899201137,1
2023,-0.043568292782176776,-0.05162592469650473,0.11608418411259791,2
2024,-1.3022619178608412,-1.2586936250786644,-1.2070677003821597,0
