year,position,velocity,acceleration,saddle_score_phase1
1974,0.0,,,0
1975,0.0,0.0,,1
1976,0.0,0.0,0.0,1
1977,0.0,0.0,0.0,1
1978,0.0,0.0,0.0,1
1979,0.0,0.0,0.0,1
1980,0.0,0.0,0.0,1
1981,0.0,0.0,0.0,1
1982,0.0,0.0,0.0,1
1983,0.0,0.0,0.0,1
1984,0.0,0.0,0.0,1
1985,0.0,0.0,0.0,1
1986,0.0,0.0,0.0,1
1987,0.0,0.0,0.0,1
1988,0.0,0.0,0.0,1
1989,0.0,0.0,0.0,1
1990,0.0,0.0,0.0,1
1991,-5.0,-5.0,-5.0,0
1992,-5.0,0.0,5.0,1
1993,-3.146448807890528,1.8535511921094718,1.8535511921094718,0
1994,-5.0,-1.8535511921094718,-3.7071023842189437,0
1995,-5.0,0.0,1.8535511921094718,1
1996,-5.0,0.0,0.0,1
1997,-3.644390826124749,1.355609173875251,1.355609173875251,0
1998,-2.05179404664387,1.5925967794808789,0.23698760560562793,0
1999,-0.1338470918247321,1.9179469548191381,0.3253501753382593,0
2000,0.0565732912142316,0.1904203830389637,-1.7275265717801744,2
2001,-0.8083166250896028,-0.8648899163038344,-1.055310299342798,0
2002,-1.7291739880790398,-0.920857362989437,-0.055967446685602606,0
2003,-0.3897905484247133,1.3393834396543265,2.2602408026437635,0
2004,-0.2101001960541602,0.17969035237055309,-1.1596930872837734,2
2005,-0.9423976029705976,-0.7322974069164374,-0.9119877592869905,0
2006,-1.4910838169984952,-0.5486862140278976,0.18361119288853978,1
2007,-3.766844435829948,-2.2757606188314528,-1.7270744048035551,0
2008,-4.083447274323502,-0.3166028384935542,1.9591577803378986,1
2009,-1.862760062438105,2.220687211885397,2.5372900503789513,0
2010,-1.1265218870255644,0.7362381754125407,-1.4844490364728564,1
2011,-1.537599634522497,-0.4110777474969325,-1.1473159229094732,0
2012,-0.9650694233104335,0.5725302112120634,0.9836079587089959,0
2013,-1.1787571447937344,-0.21368772148330084,-0.7862179326953642,0
2014,-2.281108833481414,-1.1023516886876794,-0.8886639672043786,0
2015,-3.2075820721062707,-0.9264732386248569,0.17587845006282254,1
2016,-4.032799970314487,-0.8252178982082166,0.1012553404166403,1
2017,-4.5824290699080255,-0.5496290995935382,0.27558879861467833,1
2018,-1.5148414453154717,3.0675876245925537,3.617216724186092,0
2019,-4.687436577178566,-3.1725951318630945,-6.240182756455648,0
2020,-3.8974759887524324,0.7899605884261338,3.9625557202892283,0
2021,-3.7869116613450036,0.11056432740742883,-0.679396261018705,2
2022,-3.7592060474218805,0.027705613923123096,-0.08285871348430573,2
2023,-3.2771150846876,0.48209096273428065,0.45438534881115755,0
2024,0.013861718622320218,3.29097680330992,2.8088858405756394,0
