year,position,velocity,acceleration,saddle_score_phase1
1974,0.0,,,0
1975,0.0,0.0,,1
1976,0.0,0.0,0.0,1
1977,0.0,0.0,0.0,1
1978,0.0,0.0,0.0,1
1979,0.0,0.0,0.0,1
1980,0.0,0.0,0.0,1
1981,0.0,0.0,0.0,1
1982,0.0,0.0,0.0,1
1983,0.0,0.0,0.0,1
1984,0.0,0.0,0.0,1
1985,0.0,0.0,0.0,1
1986,0.0,0.0,0.0,1
1987,0.0,0.0,0.0,1
1988,0.0,0.0,0.0,1
1989,0.0,0.0,0.0,1
1990,-5.0,-5.0,-5.0,0
1991,-5.0,0.0,5.0,1
1992,-5.0,0.0,0.0,1
1993,-3.7592731371741,1.2407268628259,1.2407268628259,0
1994,-2.054427014866755,1.704846122307345,0.46411925948144495,0
1995,-2.2708082104394514,-0.21638119557269642,-1.9212273178800414,0
1996,-1.8612136801459926,0.4095945302934587,0.6259757258661551,0
1997,-1.2738568051917842,0.5873568749542084,0.1777623446607497,0
1998,-1.7152784835435488,-0.4414216783517646,-1.028778553305973,0
1999,-2.4989823490486316,-0.7837038655050828,-0.34228218715331815,0
2000,-2.791707737408188,-0.2927253883595564,0.49097847714552634,1
2001,-2.997380220835042,-0.20567248342685396,0.08705290493270246,1
2002,-2.301283530775184,0.696096690059858,0.9017691734867119,0
2003,-1.4487551658808062,0.8525283648943778,0.1564316748345198,0
2004,-0.5533682650599561,0.8953869008208502,0.042858535926472374,0
2005,0.2890838943300542,0.8424521593900103,-0.05293474143083987,1
2006,-0.694865817162019,-0.9839497114920732,-1.8264018708820835,0
2007,-1.7503049113035951,-1.055439094141576,-0.07148938264950289,0
2008,-2.4738751715383995,-0.7235702602348044,0.3318688339067717,1
2009,-2.2319378153461726,0.2419373561922269,0.9655076164270313,0
2010,-2.706546369875476,-0.4746085545293033,-0.7165459107215302,0
2011,-3.320508272673992,-0.6139619027985161,-0.13935334826921286,0
2012,-3.562602420252874,-0.2420941475788818,0.37186775521963433,1
2013,-3.4093154434900796,0.15328697676279424,0.39538112434167605,1
2014,-3.4206551135633365,-0.011339670073256869,-0.1646266468360511,1
2015,-3.3971193374376263,0.023535776125710228,0.0348754461989671,1
2016,-3.2226326903549944,0.17448664708263184,0.1509508709569216,1
2017,-3.376326270681772,-0.15369358032677738,-0.3281802274094092,1
2018,-3.4178395375995105,-0.04151326691773871,0.11218031340903867,2
2019,-3.5292841440264255,-0.111444606426915,-0.0699313395091763,1
2020,-2.7021368137171944,0.8271473303092312,0.9385919367361462,0
2021,-2.988189283195633,-0.28605246947843854,-1.1131997997876697,0
2022,-3.1129433981453567,-0.12475411494972377,0.16129835452871477,2
2023,-2.9687688472443696,0.14417455090098708,0.26892866585071085,1
2024,-0.06421154553876729,2.9045573017056023,2.7603827508046153,0
