year,position,velocity,acceleration,saddle_score_phase1
1974,0.0,,,0
1975,0.0,0.0,,1
1976,0.0,0.0,0.0,1
1977,0.0,0.0,0.0,1
1978,0.0,0.0,0.0,1
1979,0.0,0.0,0.0,1
1980,0.0,0.0,0.0,1
1981,0.0,0.0,0.0,1
1982,0.0,0.0,0.0,1
1983,0.0,0.0,0.0,1
1984,0.0,0.0,0.0,1
1985,0.0,0.0,0.0,1
1986,0.0,0.0,0.0,1
1987,0.0,0.0,0.0,1
1988,0.0,0.0,0.0,1
1989,0.0,0.0,0.0,1
1990,-5.0,-5.0,-5.0,0
1991,-5.0,0.0,5.0,1
1992,-4.6381961375668155,0.3618038624331845,0.3618038624331845,0
1993,-3.2508059633623407,1.3873901742044747,1.0255863117712902,0
1994,-3.069551895378039,0.18125406798430177,-1.206136106220173,2
1995,3.0036596068043977,6.073211502182437,5.891957434198135,0
1996,2.0841166356122134,-0.9195429711921843,-6.992754473374621,0
1997,1.700167117177167,-0.3839495184350463,0.535593452757138,1
1998,1.4836147131321828,-0.21655240404498421,0.1673971143900621,1
1999,1.255272004156379,-0.2283427089758039,-0.011790304930819673,0
2000,1.913582753699803,0.658310749543424,0.8866534585192278,0
2001,2.0022270473667714,0.08864429366696847,-0.5696664558764555,2
2002,2.3172052730353796,0.3149782256686082,0.22633393200163976,0
2003,-2.8471583844493322,-5.164363657484712,-5.47934188315332,0
2004,-3.2416563131687135,-0.3944979287193813,4.76986572876533,1
2005,-2.468792316365385,0.7728639968033284,1.1673619255227097,0
2006,-2.6142944995585125,-0.14550218319312735,-0.9183661799964558,1
2007,-3.097638399633488,-0.4833439000749755,-0.33784171688184816,0
2008,-2.840351287961497,0.25728711167199103,0.7406310117469665,0
2009,-2.4877710690743617,0.3525802188871352,0.09529310721514417,0
2010,-1.656940549117663,0.8308305199566988,0.47825030106956357,0
2011,0.9486507471007197,2.6055912962183827,1.774760776261684,0
2012,0.1876387443840528,-0.7610120027166669,-3.3666032989350496,0
2013,3.6627291248436595,3.4750903804596067,4.236102383176274,0
2014,1.3759213716911791,-2.2868077531524804,-5.761898133612087,0
2015,-0.0450225268881983,-1.4209438985793774,0.865863854573103,1
2016,-0.5211245274490128,-0.47610200056081453,0.9448418980185629,1
2017,-1.0908010891830693,-0.5696765617340565,-0.09357456117324192,0
2018,2.214529712288046,3.3053308014711154,3.875007363205172,0
2019,1.2866888243570704,-0.9278408879309756,-4.233171689402091,0
2020,1.335054935054841,0.04836611069777064,0.9762069986287463,1
2021,0.6926824264627482,-0.6423725085920928,-0.6907386192898635,0
2022,0.6773119858123184,-0.015370440650429806,0.627002067941663,2
2023,0.7648051637502471,0.08749317793792866,0.10286361858835846,1
2024,0.786853570189785,0.02204840643953787,-0.06544477149839079,2
