year,position,velocity,acceleration,saddle_score_phase1
1974,0.0,,,0
1975,0.0,0.0,,1
1976,0.0,0.0,0.0,1
1977,0.0,0.0,0.0,1
1978,0.0,0.0,0.0,1
1979,0.0,0.0,0.0,1
1980,5.0,5.0,5.0,0
1981,-0.35533452725947257,-5.355334527259473,-10.355334527259473,0
1982,-0.34752402342860833,0.007810503830864235,5.363145031090337,1
1983,-0.3402069087198667,0.007317114708741634,-0.0004933891221226006,2
1984,-0.33333333333338544,0.0068735753864812565,-0.00044353932226037784,2
1985,5.0,5.333333333333385,5.326459757946904,0
1986,-0.4624884394615183,-5.462488439461518,-10.795821772794904,0
1987,-0.4538188849785696,0.008669554482948705,5.471157993944467,1
1988,-0.4456200922389568,0.00819879273961277,-0.00047076174333593457,2
1989,-0.4378508777081507,0.0077692145308061455,-0.00042957820880662467,2
1990,-5.0,-4.562149122291849,-4.5699183368226555,0
1991,5.0,10.0,14.56214912229185,0
1992,5.0,0.0,-10.0,1
1993,5.0,0.0,0.0,1
1994,5.0,0.0,0.0,1
1995,4.6786302869667455,-0.32136971303325446,-0.32136971303325446,0
1996,4.1132458441569195,-0.565384442809826,-0.24401472977657157,0
1997,3.3081347013263933,-0.8051111428305262,-0.23972670002070018,0
1998,2.4755361569208034,-0.8325985444055899,-0.027487401575063686,0
1999,1.1470165500434213,-1.3285196068773821,-0.49592106247179224,0
2000,0.5102873793029863,-0.636729170740435,0.6917904361369471,1
2001,-0.6538200931092248,-1.1641074724122111,-0.5273783016717761,0
2002,-0.4365267109625588,0.21729338214666605,1.3814008545588772,0
2003,-0.315557311708913,0.1209693992536458,-0.09632398289302024,2
2004,-0.34224327441061053,-0.02668596270169754,-0.14765536195534334,1
2005,-1.0614820807230196,-0.7192388063124091,-0.6925528436107116,0
2006,-1.3694495122078192,-0.30796743148479955,0.41127137482760956,1
2007,-1.338487617665482,0.03096189454233711,0.33892932602713666,1
2008,-0.11286263834362575,1.2256249793218563,1.1946630847795192,0
2009,2.627994522529283,2.740857160872909,1.5152321815510525,0
2010,3.264572565296497,0.6365780427672139,-2.104279118105695,1
2011,3.8174494580391585,0.5528768927426615,-0.08370115002455236,1
2012,4.638857337468259,0.8214078794291009,0.2685309866864394,0
2013,4.649358053957366,0.010500716489106665,-0.8109071629399942,2
2014,3.94235543678942,-0.7070026171679462,-0.7175033336570529,0
2015,3.0390130085033196,-0.9033424282861002,-0.19633981111815402,0
2016,2.284022588533575,-0.7549904199697446,0.14835200831635564,1
2017,1.3995859508535693,-0.8844366376800057,-0.1294462177102611,0
2018,0.7415918821260501,-0.6579940687275192,0.2264425689524865,1
2019,0.43640689467447835,-0.30518498745157174,0.35280908127594746,1
2020,1.1455752486398403,0.7091683539653619,1.0143533414169337,0
2021,0.6954246581619525,-0.45015059047788775,-1.1593189444432497,0
2022,-0.0233246370076019,-0.7187492951695544,-0.2685987046916667,0
2023,-0.23256522333364682,-0.20924058632604492,0.5095087088435095,1
2024,0.9542926380962431,1.18685786142989,1.3960984477559348,0
