year,position,velocity,acceleration,saddle_score_phase1
1974,-0.4303314829118996,,,0
1975,3.582749599106588,4.013081082018488,,0
1976,-0.5845504858196886,-4.167300084926277,-8.180381166944764,0
1977,-0.567011514533112,0.017538971286576555,4.184839056212853,1
1978,-0.5509681363648529,0.01604337816825918,-0.0014955931183173732,2
1979,1.6831265339319792,2.234094670296832,2.218051292128573,0
1980,-0.6215399943678435,-2.3046665282998227,-4.538761198596655,0
1981,-0.6059318502799274,0.01560814408791611,2.3202746723877388,1
1982,-0.5914484864687823,0.014483363811145011,-0.001124780276771098,2
1983,-0.5779604922937205,0.013487994175061857,-0.0009953696360831543,2
1984,1.1523228118375393,1.7302833041312597,1.716795309956198,0
1985,-0.6186857236485901,-1.7710085354861294,-3.501291839617389,0
1986,-0.6059640060564808,0.012721717592109272,1.7837302530782386,1
1987,-0.5939990890620308,0.011964916994450014,-0.0007568005976592573,2
1988,-0.5827185505712169,0.011280538490813896,-0.0006843785036361183,2
1989,-0.5720593410327197,0.010659209538497194,-0.000621328952316702,2
1990,-5.0,-4.42794065896728,-4.4385998685057775,0
1991,1.7555689328362991,6.755568932836299,11.18350959180358,0
1992,4.146419569697613,2.3908506368613143,-4.364718295974985,1
1993,5.0,0.8535804303023866,-1.5372702065589277,1
1994,5.0,0.0,-0.8535804303023866,1
1995,4.493577160336891,-0.5064228396631094,-0.5064228396631094,0
1996,4.091514157406181,-0.40206300293070996,0.10435983673239946,1
1997,3.7910285687960386,-0.3004855886101421,0.10157741432056788,1
1998,2.52358422677701,-1.2674443420190284,-0.9669587534088864,0
1999,2.495005726757894,-0.028578500019116326,1.2388658419999121,2
2000,0.07822724003615456,-2.4167784867217392,-2.388199986702623,0
2001,-1.5467797665614254,-1.62500700659758,0.7917714801241593,1
2002,-1.1379104664608186,0.40886930010060674,2.0338763066981866,0
2003,-2.1447631025029428,-1.0068526360421242,-1.415721936142731,0
2004,-1.143495961833108,1.0012671406698348,2.008119776711959,0
2005,-0.8000870660962738,0.3434088957368342,-0.6578582449330006,1
2006,-0.6534092221675953,0.14667784392867844,-0.19673105180815575,2
2007,-1.3859215345356142,-0.7325123123680188,-0.8791901562966973,0
2008,-1.6874886646321796,-0.30156713009656544,0.4309451822714534,1
2009,0.2961503757807469,1.9836390404129265,2.285206170509492,0
2010,0.31477331101805994,0.018622935237313065,-1.9650161051756134,2
2011,0.16000836996161816,-0.15476494105644178,-0.17338787629375485,1
2012,0.9337202319427638,0.7737118619811456,0.9284768030375874,0
2013,0.6649362703246018,-0.268783961618162,-1.0424958235993076,0
2014,1.001326330492783,0.3363900601681813,0.6051740217863433,0
2015,1.6725705195279819,0.6712441890351988,0.3348541288670175,0
2016,0.790220716874872,-0.8823498026531098,-1.5535939916883086,0
2017,-0.5615855630074789,-1.351806279882351,-0.4694564772292411,0
2018,-1.2446006201237703,-0.6830150571162914,0.6687912227660595,1
2019,-1.9454460807069562,-0.700845460583186,-0.017830403466894573,0
2020,-2.159853918223826,-0.21440783751686965,0.4864376230663163,1
2021,-2.375343488739341,-0.2154895705155151,-0.001081732998645446,0
2022,-2.9259515415119832,-0.5506080527726422,-0.33511848225712715,0
2023,-2.7607088782985008,0.16524266321348247,0.7158507159861247,1
2024,2.4588684705622796,5.21957734886078,5.054334685647298,0
