year,position,velocity,acceleration,saddle_score_phase1
1974,0.0,,,0
1975,0.0,0.0,,1
1976,0.0,0.0,0.0,1
1977,0.0,0.0,0.0,1
1978,0.0,0.0,0.0,1
1979,0.0,0.0,0.0,1
1980,0.0,0.0,0.0,1
1981,0.0,0.0,0.0,1
1982,0.0,0.0,0.0,1
1983,0.0,0.0,0.0,1
1984,0.0,0.0,0.0,1
1985,0.0,0.0,0.0,1
1986,0.0,0.0,0.0,1
1987,0.0,0.0,0.0,1
1988,0.0,0.0,0.0,1
1989,0.0,0.0,0.0,1
1990,-5.0,-5.0,-5.0,0
1991,0.13943277138490284,5.139432771384903,10.139432771384904,0
1992,3.001525248742581,2.8620924773576784,-2.2773402940272245,1
1993,5.0,1.9984747512574188,-0.8636177261002596,1
1994,3.5715687253295965,-1.4284312746704035,-3.4269060259278223,0
1995,4.808296731015851,1.2367280056862544,2.665159280356658,0
1996,4.379085294898882,-0.42921143611696877,-1.6659394418032232,0
1997,4.48450226986283,0.10541697496394775,0.5346284110809165,1
1998,4.503367890203545,0.018865620340715594,-0.08655135462323216,2
1999,3.655420548979672,-0.8479473412238736,-0.8668129615645892,0
2000,5.0,1.3445794510203282,2.1925267922442018,0
2001,1.3417921978559857,-3.6582078021440143,-5.0027872531643425,0
2002,0.8976741016155696,-0.4441180962404161,3.214089705903598,1
2003,4.036081350592738,3.1384072489771686,3.5825253452175847,0
2004,0.7730838043996737,-3.2629975461930645,-6.401404795170233,0
2005,0.651679330500321,-0.12140447389935272,3.1415930722937118,2
2006,-0.1892174984067143,-0.8408968289070353,-0.7194923550076826,0
2007,-0.7749835208567433,-0.585766022450029,0.25513080645700636,1
2008,-1.2022027280991736,-0.42721920724243034,0.1585468152075986,1
2009,0.48925911424049673,1.6914618423396703,2.1186810495821007,0
2010,3.552839622414881,3.0635805081743843,1.372118665834714,0
2011,5.0,1.447160377585119,-1.6164201305892654,1
2012,5.0,0.0,-1.447160377585119,1
2013,5.0,0.0,0.0,1
2014,5.0,0.0,0.0,1
2015,4.414519763322337,-0.5854802366776628,-0.5854802366776628,0
2016,3.66095936899338,-0.7535603943289573,-0.16808015765129447,0
2017,2.860676835066264,-0.800282533927116,-0.04672213959815874,0
2018,2.152632186749127,-0.708044648317137,0.09223788560997903,1
2019,1.2689122038233593,-0.8837199829257676,-0.1756753346086306,0
2020,1.0121810681113521,-0.25673113571200723,0.6269888472137604,1
2021,0.985511095977194,-0.026669972134158115,0.23006116357784911,2
2022,0.38766058279381976,-0.5978505131833742,-0.5711805410492161,0
2023,-0.37762926757079107,-0.7652898503646108,-0.1674393371812366,0
2024,0.5991306380754384,0.9767599056462295,1.7420497560108403,0
