year,position,velocity,acceleration,saddle_score_phase1
1974,0.0,,,0
1975,0.0,0.0,,1
1976,0.0,0.0,0.0,1
1977,0.0,0.0,0.0,1
1978,0.0,0.0,0.0,1
1979,0.0,0.0,0.0,1
1980,0.0,0.0,0.0,1
1981,0.0,0.0,0.0,1
1982,0.0,0.0,0.0,1
1983,0.0,0.0,0.0,1
1984,5.0,5.0,5.0,0
1985,-0.3268602252302877,-5.326860225230288,-10.326860225230288,0
1986,-0.32075014955036174,0.0061100756799259415,5.332970300910214,1
1987,-5.0,-4.679249850449638,-4.685359926129564,0
1988,0.24557193535999922,5.245571935359999,9.924821785809637,0
1989,0.2414975703943023,-0.004074364965696908,-5.249646300325696,1
1990,-4.163602567190468,-4.40510013758477,-4.401025772619073,0
1991,-5.0,-0.836397432809532,3.568702704775238,1
1992,-5.0,0.0,0.836397432809532,1
1993,-5.0,0.0,0.0,1
1994,-2.2308960427887516,2.7691039572112484,2.7691039572112484,0
1995,-1.7528801507543719,0.4780158920343798,-2.2910880651768686,1
1996,-0.3651679414241542,1.3877122093302177,0.9096963172958379,0
1997,-1.5966747761478377,-1.2315068347236835,-2.619219044053901,0
1998,-5.0,-3.4033252238521623,-2.171818389128479,0
1999,-5.0,0.0,3.4033252238521623,1
2000,-5.0,0.0,0.0,1
2001,0.5986234751991883,5.598623475199188,5.598623475199188,0
2002,0.750643255738817,0.1520197805396286,-5.44660369465956,2
2003,-5.0,-5.750643255738817,-5.902663036278446,0
2004,-4.285122913930437,0.7148770860695626,6.4655203418083795,0
2005,1.4387084001460124,5.72383131407645,5.008954228006887,0
2006,1.415175584912097,-0.023532815233915372,-5.747364129310365,1
2007,1.8422857565485193,0.4271101716364223,0.45064298687033766,0
2008,1.3156913799753491,-0.5265943765731702,-0.9537045482095925,0
2009,0.8491494588940345,-0.46654192108131465,0.06005245549185556,1
2010,0.7426308504435832,-0.10651860845045125,0.3600233126308634,2
2011,0.9178628157982258,0.17523196535464258,0.28175057380509383,1
2012,0.45587512118824147,-0.46198769460998435,-0.6372196599646269,0
2013,0.6152197397042869,0.15934461851604542,0.6213323131260298,1
2014,0.44683417186526153,-0.16838556783902536,-0.3277301863550708,1
2015,0.607737170297443,0.16090299843218148,0.32928856627120684,1
2016,0.3172636057717835,-0.29047356452565953,-0.451376562957841,0
2017,-0.029211113571131264,-0.34647471934291474,-0.056001154817255205,0
2018,0.28331604422327494,0.3125271577944062,0.659001877137321,0
2019,-0.27504242023011916,-0.5583584644533941,-0.8708856222478003,0
2020,0.0783738450674365,0.35341626529755565,0.9117747297509498,0
2021,-0.13143988952432206,-0.20981373459175856,-0.5632299998893142,0
2022,-5.0,-4.868560110475678,-4.658746375883919,0
2023,-0.20232651124150358,4.797673488758496,9.666233599234175,0
2024,-0.3545878330749206,-0.152261321833417,-4.949934810591913,1
