year,position,velocity,acceleration,saddle_score_phase1
1974,0.0,,,0
1975,0.0,0.0,,1
1976,0.0,0.0,0.0,1
1977,-5.0,-5.0,-5.0,0
1978,0.3823595564509592,5.382359556450959,10.38235955645096,0
1979,0.37267799624995934,-0.009681560200999861,-5.392041116651959,1
1980,0.36369648372657526,-0.008981512523384083,0.0007000476776157782,2
1981,0.3553345272592692,-0.008361956467306086,0.0006195560560779967,2
1982,0.3475240234283259,-0.007810503830943283,0.0005514526363628036,2
1983,-5.0,-5.347524023428326,-5.339713519597383,0
1984,0.4520459433307664,5.452045943330766,10.799569966759092,0
1985,0.44297025574384996,-0.009075687586916459,-5.461121630917683,1
1986,0.4344209626946096,-0.008549293049240347,0.0005263945376761114,2
1987,-5.0,-5.43442096269461,-5.425871669645369,0
1988,0.5321789965771648,5.532178996577165,10.966599959271775,0
1989,0.5226265289818821,-0.009552467595282721,-5.5417314641724476,1
1990,1.876876585680379,1.354250056698497,1.3638025242937797,0
1991,5.0,3.123123414319621,1.768873357621124,0
1992,5.0,0.0,-3.123123414319621,1
1993,4.091407485080719,-0.9085925149192811,-0.9085925149192811,0
1994,4.26264616322214,0.17123867814142102,1.079831193060702,1
1995,3.5370844189740893,-0.7255617442480506,-0.8968004223894717,0
1996,3.186254020251372,-0.35083039872271726,0.3747313455253334,1
1997,2.985422673130013,-0.2008313471213592,0.14999905160135807,1
1998,2.978850650270229,-0.006572022859783644,0.19425932426157555,2
1999,2.4986613250834164,-0.4801893251868128,-0.47361730232702914,0
2000,2.342684757714446,-0.15597656736897036,0.3242127578178424,2
2001,2.019347840358696,-0.3233369173557499,-0.1673603499867795,0
2002,1.9262331959894272,-0.09311464436926897,0.2302222729864809,2
2003,1.6149838585765073,-0.31124933741291994,-0.21813469304365096,0
2004,1.1857141732116379,-0.4292696853648694,-0.11802034795194949,0
2005,1.5210931068504907,0.33537893363885285,0.7646486190037223,0
2006,1.5158768363903752,-0.005216270460115524,-0.3405952040989684,1
2007,1.594601206993417,0.07872437060304183,0.08394064106315735,1
2008,1.788770012098615,0.19416880510519796,0.11544443450215613,1
2009,1.2322285183794133,-0.5565414937192017,-0.7507102988243997,0
2010,1.9404485200894683,0.7082200017100551,1.2647614954292568,0
2011,1.619269016328321,-0.32117950376114734,-1.0293995054712024,0
2012,2.128743807416943,0.5094747910886221,0.8306542948497695,0
2013,1.9762610032872985,-0.15248280412964466,-0.6619575952182668,1
2014,2.0932727500306205,0.11701174674332204,0.2694945508729667,1
2015,1.7548984867195925,-0.33837426331102805,-0.4553860100543501,0
2016,1.5434387143732344,-0.21145977234635804,0.12691449096467,1
2017,1.5516897166067736,0.00825100223353914,0.21971077457989718,1
2018,1.6185098590848188,0.06682014247804524,0.0585691402445061,1
2019,-0.2173057834517742,-1.835815642536593,-1.9026357850146383,0
2020,1.1291435905183551,1.3464493739701293,3.1822650165067223,0
2021,-1.0975811412618075,-2.2267247317801626,-3.573174105750292,0
2022,-3.9632846134995137,-2.865703472237706,-0.6389787404575435,0
2023,-1.1329452910486433,2.8303393224508704,5.6960427946885765,0
2024,-1.0683370610078313,0.06460823004081195,-2.7657310924100584,2
