year,position,velocity,acceleration,saddle_score_phase1
1974,0.0,,,0
1975,0.0,0.0,,1
1976,0.0,0.0,0.0,1
1977,5.0,5.0,5.0,0
1978,3.5208227896321596,-1.4791772103678404,-6.4791772103678404,0
1979,3.0915913394380254,-0.4292314501941341,1.0499457601737063,1
1980,1.830681042416563,-1.2609102970214625,-0.8316788468273284,0
1981,-1.8024356982203122,-3.633116740636875,-2.3722064436154127,0
1982,-5.0,-3.1975643017796878,0.4355524388571874,1
1983,-3.841862027129456,1.158137972870544,4.355702274650232,0
1984,-1.1902146307481698,2.651647396381286,1.493509423510742,0
1985,0.04146820933689366,1.2316828400850635,-1.4199645562962226,1
1986,-1.3528531522848448,-1.3943213616217385,-2.626004201706802,0
1987,3.620580464359456,4.973433616644301,6.367754978266039,0
1988,-0.04683984338905667,-3.667420307748513,-8.640853924392815,0
1989,0.12094855159793827,0.16778839498699494,3.8352087027355077,1
1990,-5.0,-5.120948551597938,-5.288736946584933,0
1991,5.0,10.0,15.120948551597937,0
1992,4.961348182079487,-0.03865181792051331,-10.038651817920513,1
1993,4.873112967178104,-0.08823521490138297,-0.049583396980869665,1
1994,4.585714340939122,-0.28739862623898205,-0.19916341133759907,0
1995,5.0,0.41428565906087833,0.7016842852998604,0
1996,4.456669864183436,-0.5433301358165643,-0.9576157948774426,0
1997,3.916095854525219,-0.5405740096582168,0.002756126158347527,1
1998,3.8938201339024925,-0.022275720622726425,0.5182982890354904,2
1999,2.8216110840720185,-1.072209049830474,-1.0499333292077475,0
2000,2.2876541548980356,-0.533956929173983,0.538252120656491,1
2001,0.6167047563277492,-1.6709493985702863,-1.1369924693963034,0
2002,0.46414761496846424,-0.152557141359285,1.5183922572110014,2
2003,3.6463765207100174,3.182228905741553,3.334786047100838,0
2004,2.5684207107496446,-1.0779558099603728,-4.260184715701926,0
2005,-1.0202320610287607,-3.5886527717784054,-2.5106969618180326,0
2006,-1.8096017385757146,-0.7893696775469539,2.7992830942314515,1
2007,-2.351934998510772,-0.5423332599350572,0.24703641761189665,1
2008,-1.8563776371148717,0.4955573613959001,1.0378906213309573,0
2009,-0.6446644491868909,1.2117131879279808,0.7161558265320807,0
2010,0.11061331436564092,0.7552777635525318,-0.45643542437544893,1
2011,0.4419935468003935,0.33138023243475256,-0.4238975311177793,1
2012,2.512215745732621,2.0702221989322274,1.7388419664974748,0
2013,3.765629097004629,1.253413351272008,-0.8168088476602193,1
2014,4.141607833960403,0.37597873695577455,-0.8774346143162335,1
2015,3.312559575488555,-0.8290482584718486,-1.2050269954276231,0
2016,2.575058282055439,-0.737501293433116,0.09154696503873261,1
2017,1.8333865843739972,-0.7416716976814417,-0.00417040424832571,0
2018,1.0576037925988482,-0.775782791775149,-0.03411109409370727,0
2019,0.167216342092523,-0.8903874505063252,-0.1146046587311762,0
2020,0.0612478545186903,-0.1059684875738327,0.7844189629324925,2
2021,0.15547837410576282,0.09423051958707251,0.20019900716090522,1
2022,-1.5019605326567316,-1.6574389067624944,-1.751669426349567,0
2023,-1.7349251955316602,-0.23296466287492867,1.4244742438875657,1
2024,0.7187037821652806,2.453628977696941,2.6865936405718696,0
