year,position,velocity,acceleration,saddle_score_phase1
1974,0.0,,,0
1975,0.0,0.0,,1
1976,0.0,0.0,0.0,1
1977,0.0,0.0,0.0,1
1978,0.0,0.0,0.0,1
1979,0.0,0.0,0.0,1
1980,0.0,0.0,0.0,1
1981,0.0,0.0,0.0,1
1982,0.0,0.0,0.0,1
1983,0.0,0.0,0.0,1
1984,0.0,0.0,0.0,1
1985,0.0,0.0,0.0,1
1986,0.0,0.0,0.0,1
1987,0.0,0.0,0.0,1
1988,0.0,0.0,0.0,1
1989,0.0,0.0,0.0,1
1990,-5.0,-5.0,-5.0,0
1991,-5.0,0.0,5.0,1
1992,-5.0,0.0,0.0,1
1993,-4.800359312981321,0.19964068701867888,0.19964068701867888,1
1994,-4.11314631406462,0.6872129989167011,0.4875723118980222,0
1995,-3.620242896667681,0.4929034173969389,-0.1943095815197622,1
1996,-3.2603151593384307,0.35992773732925043,-0.13297568006768845,1
1997,-3.0535309119040424,0.2067842474343884,-0.15314348989486204,1
1998,-2.5876025312486073,0.46592838065543507,0.2591441332210467,0
1999,-2.1746605271454684,0.41294200410313886,-0.05298637655229621,1
2000,-2.124976297855648,0.049684229289820525,-0.36325777481331833,2
2001,-1.9466029929130428,0.17837330494260506,0.12868907565278453,1
2002,-1.7738376783864855,0.1727653145265573,-0.005607990416047759,2
2003,-1.7277942680309968,0.046043410355488756,-0.12672190417106854,2
2004,-1.8756341668945602,-0.1478398988635634,-0.19388330921905217,1
2005,-2.0227234977688067,-0.14708933087424647,0.0007505679893169415,2
2006,-2.0826938660119247,-0.05997036824311808,0.0871189626311284,2
2007,-2.1609530520270717,-0.07825918601514692,-0.018288817772028843,1
2008,-1.9882938698008061,0.17265918222626553,0.25091836824141245,1
2009,-1.6260044510843703,0.36228941871643583,0.1896302364901703,0
2010,-1.648388891831793,-0.02238444074742274,-0.38467385946385857,1
2011,-1.8061597236219065,-0.15777083179011342,-0.13538639104269068,1
2012,-1.8496325661517048,-0.04347284252979833,0.11429798926031509,2
2013,-2.1274419060522476,-0.2778093399005428,-0.23433649737074447,0
2014,-2.2289098121110134,-0.10146790605876577,0.17634143384177703,2
2015,-2.3564238531594124,-0.12751404104839903,-0.026046134989633263,1
2016,-2.3337966066335984,0.022627246525813938,0.15014128757421297,1
2017,-2.416315913479906,-0.08251930684630748,-0.10514655337212142,1
2018,-2.469796491342377,-0.05348057786247118,0.029038728983836304,2
2019,-2.395891134545931,0.07390535679644605,0.12738593465891723,1
2020,-2.1972215617909057,0.1986695727550254,0.12476421595857934,1
2021,-2.171887951129938,0.025333610660967842,-0.17333596209405755,2
2022,-2.1915539911727806,-0.01966604004284278,-0.04499965070381062,1
2023,-2.1855999367033014,0.005954054469479164,0.025620094512321945,1
2024,0.07025167276667599,2.2558516094699774,2.2498975550004983,0
