year,position,velocity,acceleration,saddle_score_phase1
1974,0.0,,,0
1975,0.0,0.0,,1
1976,0.0,0.0,0.0,1
1977,0.0,0.0,0.0,1
1978,0.0,0.0,0.0,1
1979,0.0,0.0,0.0,1
1980,0.0,0.0,0.0,1
1981,0.0,0.0,0.0,1
1982,0.0,0.0,0.0,1
1983,0.0,0.0,0.0,1
1984,0.0,0.0,0.0,1
1985,0.0,0.0,0.0,1
1986,0.0,0.0,0.0,1
1987,0.0,0.0,0.0,1
1988,0.0,0.0,0.0,1
1989,0.0,0.0,0.0,1
1990,-5.0,-5.0,-5.0,0
1991,-5.0,0.0,5.0,1
1992,-5.0,0.0,0.0,1
1993,-4.5148697160279685,0.4851302839720315,0.4851302839720315,0
1994,-4.470852305330824,0.04401741069714493,-0.4411128732748866,2
1995,-4.225696822006963,0.2451554833238605,0.20113807262671557,0
1996,-3.8449562741791397,0.3807405478278234,0.1355850645039629,0
1997,-3.2187684725276835,0.6261878016514562,0.24544725382363275,0
1998,-0.8373067112650743,2.3814617612626092,1.755273959611153,0
1999,-1.2260447896327857,-0.38873807836771146,-2.7701998396303207,0
2000,-2.2903932417283226,-1.0643484520955369,-0.6756103737278254,0
2001,-2.339428454323698,-0.049035212595375466,1.0153132395001614,2
2002,-2.6365974994810206,-0.29716904515732256,-0.2481338325619471,0
2003,-2.255551814339143,0.38104568514187775,0.6782147302992003,0
2004,-2.0859329171837544,0.16961889715538847,-0.21142678798648928,2
2005,-2.0898231618412733,-0.00389024465751886,-0.17350914181290733,1
2006,-2.1464766094384573,-0.05665344759718405,-0.05276320293966519,1
2007,-2.246014265755915,-0.09953765631745748,-0.04288420872027343,1
2008,-2.077982194414104,0.16803207134181086,0.26756972765926834,1
2009,-1.775471478120183,0.3025107162939209,0.13447864495211004,0
2010,-1.8888244171632653,-0.1133529390430823,-0.4158636553370032,1
2011,-2.0371376492503606,-0.14831323208709524,-0.034960293044012936,1
2012,-2.0897874492510264,-0.05264980000066588,0.09566343208642936,2
2013,-1.9031036596441657,0.18668378960686072,0.2393335896075266,1
2014,-1.9241696351140556,-0.021065975469889864,-0.20774976507675058,1
2015,-1.586203555357419,0.3379660797566366,0.3590320552265265,0
2016,-1.3621223478005877,0.22408120755683125,-0.11388487219980536,1
2017,-1.462087539283143,-0.09996519148255523,-0.3240463990393865,1
2018,-1.4158596508810444,0.04622788840209857,0.1461930798846538,1
2019,-1.4893987746828778,-0.07353912380183347,-0.11976701220393204,1
2020,-1.4030019608388473,0.08639681384403053,0.159935937645864,1
2021,-1.7714678931506151,-0.36846593231176783,-0.45486274615579836,0
2022,-2.121257992640036,-0.34979009948942075,0.018675832822347083,1
2023,-2.2825403361011225,-0.1612823434610866,0.18850775602833414,2
2024,0.28413304432089426,2.5666733804220168,2.7279557238831034,0
