year,position,velocity,acceleration,saddle_score_phase1
1974,0.0,,,0
1975,0.0,0.0,,1
1976,0.0,0.0,0.0,1
1977,0.0,0.0,0.0,1
1978,0.0,0.0,0.0,1
1979,0.0,0.0,0.0,1
1980,0.0,0.0,0.0,1
1981,0.0,0.0,0.0,1
1982,0.0,0.0,0.0,1
1983,0.0,0.0,0.0,1
1984,5.0,5.0,5.0,0
1985,-0.3268602252303081,-5.326860225230308,-10.326860225230309,0
1986,-0.32075014954979597,0.006110075680512139,5.33297030091082,1
1987,-0.31497039417436845,0.00577975537542752,-0.0003303203050846193,2
1988,-0.3094922302950991,0.00547816387926936,-0.00030159149615816006,2
1989,5.0,5.309492230295099,5.30401406641583,0
1990,5.0,0.0,-5.309492230295099,1
1991,5.0,0.0,0.0,1
1992,5.0,0.0,0.0,1
1993,3.963865489818451,-1.0361345101815491,-1.0361345101815491,0
1994,4.4042159170437785,0.4403504272253276,1.4764849374068767,0
1995,3.795523921669565,-0.6086919953742136,-1.0490424225995412,0
1996,3.3070829330699034,-0.48844098859966145,0.12025100677455214,1
1997,1.7744282564394052,-1.5326546766304983,-1.0442136880308368,0
1998,2.232920335844261,0.4584920794048557,1.991146756035354,0
1999,0.5507778966139663,-1.6821424392302946,-2.1406345186351503,0
2000,0.7762484613504803,0.22547056473651406,1.9076130039668087,0
2001,-0.21166520705807557,-0.9879136684085559,-1.21338423314507,0
2002,0.47471341746059714,0.6863786245186727,1.6742922929272286,0
2003,-0.08692311310891743,-0.5616365305695146,-1.2480151550881873,0
2004,0.43091890430793534,0.5178420174168528,1.0794785479863673,0
2005,0.4324081860370246,0.0014892817290892424,-0.5163527356877635,2
2006,0.529286660117064,0.09687847408003947,0.09538919235095022,1
2007,-0.7000239066479859,-1.22931056676505,-1.3261890408450894,0
2008,1.7688354087258675,2.4688593153738534,3.6981698821389033,0
2009,3.228287666054225,1.4594522573283575,-1.009407058045496,1
2010,5.0,1.771712333945775,0.3122600766174175,0
2011,4.396444667251481,-0.6035553327485186,-2.3752676666942936,0
2012,4.131398543403838,-0.26504612384764314,0.33850920890087544,1
2013,2.7062069449806634,-1.4251915984231749,-1.1601454745755317,0
2014,2.3123830421693157,-0.3938239028113477,1.0313676956118272,1
2015,1.7924693708912454,-0.5199136712780703,-0.1260897684667226,0
2016,2.849328591544934,1.0568592206536884,1.5767728919317587,0
2017,3.7771037380262893,0.9277751464813555,-0.12908407417233292,1
2018,4.677800346227643,0.9006966082013541,-0.027078538280001396,1
2019,4.031848140016553,-0.6459522062110903,-1.5466488144124444,0
2020,4.174014268634821,0.1421661286182676,0.7881183348293579,1
2021,3.421126266252271,-0.7528880023825497,-0.8950541310008173,0
2022,2.9701602371666747,-0.45096602908559635,0.30192197329695336,1
2023,2.3524074659553396,-0.6177527712113351,-0.16678674212573874,0
2024,-1.9940983243152455,-4.3465057902705855,-3.7287530190592504,0
