year,position,velocity,acceleration,saddle_score_phase1
1974,0.0,,,0
1975,0.0,0.0,,1
1976,0.0,0.0,0.0,1
1977,0.0,0.0,0.0,1
1978,0.0,0.0,0.0,1
1979,0.0,0.0,0.0,1
1980,0.0,0.0,0.0,1
1981,0.0,0.0,0.0,1
1982,0.0,0.0,0.0,1
1983,0.0,0.0,0.0,1
1984,0.0,0.0,0.0,1
1985,5.0,5.0,5.0,0
1986,-0.32075014954980396,-5.320750149549804,-10.320750149549804,0
1987,-0.31497039417438355,0.0057797553754204145,5.326529904925224,1
1988,-0.3094922302951284,0.005478163879255149,-0.0003015914961652655,2
1989,-0.3042903097251255,0.005201920570002905,-0.0002762433092522443,2
1990,-0.2993421700446728,0.004948139680452712,-0.0002537808895501925,2
1991,-5.0,-4.700657829955327,-4.70560596963578,0
1992,-3.0410498464099858,1.9589501535900142,6.6596079835453414,0
1993,-5.0,-1.9589501535900142,-3.9179003071800285,0
1994,-4.954366824651817,0.045633175348182675,2.004583328938197,1
1995,-4.23206713645536,0.7222996881964576,0.676666512848275,0
1996,0.799152332620169,5.031219469075529,4.308919780879071,0
1997,-4.184530510544108,-4.983682843164277,-10.014902312239805,0
1998,-3.8790877167717355,0.3054427937723725,5.2891256369366495,0
1999,-3.4749340616473354,0.40415365512440005,0.09871086135202756,0
2000,-3.2763619786323552,0.1985720830149802,-0.20558157210941985,2
2001,-3.1485526126743935,0.12780936595796177,-0.07076271705701842,2
2002,-3.2919452539447804,-0.14339264127038698,-0.27120200722834875,1
2003,-1.6780719788194438,1.6138732751253366,1.7572659163957236,0
2004,-3.1354848418405323,-1.4574128630210885,-3.071286138146425,0
2005,-2.7623082149923435,0.37317662684818886,1.8305894898692774,0
2006,-2.5771527423594796,0.18515547263286392,-0.18802115421532495,2
2007,-2.3850767366655417,0.1920760056939379,0.006920533061073986,1
2008,-2.287501826082334,0.09757491058320777,-0.09450109511073013,2
2009,-2.2777297523047517,0.009772073777582158,-0.08780283680562562,2
2010,-1.5916842587546975,0.6860454935500542,0.676273419772472,0
2011,-2.1577732376610568,-0.5660889789063592,-1.2521344724564134,0
2012,-1.5339559344070937,0.6238173032539631,1.1899062821603223,0
2013,-2.195682340506693,-0.6617264060995995,-1.2855437093535627,0
2014,-1.877610794403361,0.3180715461033321,0.9797979522029316,0
2015,-0.840712926348429,1.0368978680549321,0.7188263219516,0
2016,5.0,5.840712926348429,4.803815058293496,0
2017,-0.3354550581562936,-5.335455058156294,-11.176167984504723,0
2018,-0.1002206030287347,0.23523445512755892,5.5706895132838525,0
2019,5.0,5.100220603028735,4.864986147901176,0
2020,-0.14249971567278585,-5.142499715672786,-10.24272031870152,0
2021,-0.37860139159838635,-0.2361016759256005,4.906398039747185,1
2022,-0.8560610713019399,-0.4774596797035535,-0.24135800377795302,0
2023,3.17027126312081,4.02633233442275,4.5037920141263035,0
2024,-1.1720988209891452,-4.342370084109955,-8.368702418532706,0
