year,position,velocity,acceleration,saddle_score_phase1
1974,0.0,,,0
1975,0.0,0.0,,1
1976,0.0,0.0,0.0,1
1977,0.0,0.0,0.0,1
1978,0.0,0.0,0.0,1
1979,0.0,0.0,0.0,1
1980,0.0,0.0,0.0,1
1981,0.0,0.0,0.0,1
1982,0.0,0.0,0.0,1
1983,-5.0,-5.0,-5.0,0
1984,0.333333333333254,5.333333333333254,10.333333333333254,0
1985,0.32686022523023794,-0.006473108103016045,-5.33980644143627,1
1986,0.3207501495497125,-0.006110075680525462,0.00036303242249058343,2
1987,-5.0,-5.3207501495497125,-5.314640073869187,0
1988,0.4380114368347314,5.438011436834731,10.758761586384445,0
1989,0.4303928142715261,-0.007618622563205335,-5.445630059397937,1
1990,-5.0,-5.430392814271526,-5.422774191708321,0
1991,-5.0,0.0,5.430392814271526,1
1992,-5.0,0.0,0.0,1
1993,-4.45196693453487,0.5480330654651304,0.5480330654651304,0
1994,-3.6177404583613937,0.8342264761734759,0.2861934107083455,0
1995,-3.210328779925642,0.40741167843575177,-0.4268147977377241,1
1996,-3.2044677939690236,0.005860985956618325,-0.40155069247913344,2
1997,-3.394508773641943,-0.19004097967291944,-0.19590196562953777,1
1998,-3.7755206977007907,-0.38101192405884765,-0.1909709443859282,0
1999,-3.9508436035956764,-0.17532290589488575,0.2056890181639619,2
2000,-3.7501377403940794,0.200705863201597,0.37602876909648275,0
2001,-3.5836775020227716,0.16646023837130786,-0.034245624830289145,2
2002,-3.271353976654365,0.3123235253684067,0.14586328699709883,0
2003,-2.7635144983366375,0.5078394783177274,0.19551595294932067,0
2004,-2.55497596340028,0.20853853493635732,-0.29930094338137003,1
2005,-2.2369557514648135,0.3180202119354667,0.10948167699910938,0
2006,-2.561097542816398,-0.3241417913515843,-0.642162003287051,0
2007,-2.6841778953091042,-0.12308035249270644,0.20106143885887784,2
2008,-2.7216323990710443,-0.03745450376194004,0.0856258487307664,2
2009,-2.514993830822755,0.2066385682482892,0.24409307201022923,0
2010,-2.3096638508913614,0.20532997993139368,-0.0013085883168955093,1
2011,-2.2567201085502924,0.05294374234106902,-0.15238623759032466,2
2012,-1.9705283459402767,0.28619176261001567,0.23324802026894664,0
2013,-1.5777799071262715,0.39274843881400523,0.10655667620398956,0
2014,-1.4750974893535802,0.10268241777269127,-0.29006602104131396,2
2015,-1.7165795789265825,-0.24148208957300232,-0.3441645073456936,0
2016,-1.972588781507227,-0.2560092025806444,-0.01452711300764209,0
2017,-2.086886359640335,-0.11429757813310815,0.14171162444753627,2
2018,-2.474581909532359,-0.3876955498920238,-0.27339797175891567,0
2019,-2.363970992175399,0.11061091735696005,0.49830646724898386,1
2020,-2.4207349457283,-0.0567639535529012,-0.16737487090986125,1
2021,-2.2608639841610585,0.15987096156724157,0.21663491512014277,1
2022,-1.9129936122798679,0.34787037188119063,0.18799941031394907,0
2023,-1.9486089545398713,-0.0356153422600034,-0.38348571414119403,1
2024,1.08582989096805,3.034438845507921,3.0700541877679246,0
