year,position,velocity,acceleration,saddle_score_phase1
1974,0.0,,,0
1975,0.0,0.0,,1
1976,0.0,0.0,0.0,1
1977,0.0,0.0,0.0,1
1978,0.0,0.0,0.0,1
1979,0.0,0.0,0.0,1
1980,0.0,0.0,0.0,1
1981,0.0,0.0,0.0,1
1982,0.0,0.0,0.0,1
1983,0.0,0.0,0.0,1
1984,0.0,0.0,0.0,1
1985,0.0,0.0,0.0,1
1986,0.0,0.0,0.0,1
1987,0.0,0.0,0.0,1
1988,0.0,0.0,0.0,1
1989,0.0,0.0,0.0,1
1990,-5.0,-5.0,-5.0,0
1991,-5.0,0.0,5.0,1
1992,-5.0,0.0,0.0,1
1993,-3.8441836394206925,1.1558163605793075,1.1558163605793075,0
1994,-2.3254358619651723,1.5187477774555203,0.3629314168762128,0
1995,-2.073794984276123,0.2516408776890491,-1.2671068997664712,1
1996,-1.6709574081310015,0.4028375761451217,0.15119669845607264,0
1997,-2.596667279537556,-0.9257098714065544,-1.328547447551676,0
1998,-4.168657132925955,-1.5719898533883994,-0.646279981981845,0
1999,-4.0334045067825635,0.13525262614339173,1.707242479531791,1
2000,-4.079374563142609,-0.04597005636004514,-0.18122268250343687,1
2001,-3.7141764952513467,0.36519806789126186,0.411168124251307,0
2002,-2.9201969522125557,0.793979543038791,0.4287814751475292,0
2003,1.8728356327344589,4.793032584947015,3.9990530419082235,0
2004,1.9976643088643922,0.12482867612993331,-4.668203908817081,2
2005,-0.1834845639440621,-2.1811488728084543,-2.3059775489383876,0
2006,2.7731928185268826,2.9566773824709447,5.137826255279399,0
2007,2.705448804518933,-0.06774401400794972,-3.0244213964788944,1
2008,2.4631777127219676,-0.24227109179696527,-0.17452707778901555,0
2009,3.421533662820643,0.9583559500986754,1.2006270418956406,0
2010,1.4614728981126692,-1.9600607647079737,-2.918416714806649,0
2011,3.2593247136947916,1.7978518155821224,3.757912580290096,0
2012,4.954846465845479,1.6955217521506878,-0.10233006343143458,1
2013,4.877427232085006,-0.0774192337604731,-1.772940985911161,1
2014,3.2242596772325847,-1.6531675548524216,-1.5757483210919485,0
2015,2.4125045368833664,-0.8117551403492183,0.8414124145032034,1
2016,1.2739247678624723,-1.138579769020894,-0.32682462867167583,0
2017,0.13523947887616483,-1.1386852889863075,-0.00010551996541341424,0
2018,-0.8379958296514278,-0.9732353085275927,0.16544998045871484,1
2019,-1.3287549503869363,-0.4907591207355084,0.48247618779208423,1
2020,-0.43494744024762877,0.8938075101393075,1.384566630874816,0
2021,-0.3200687578304988,0.11487868241712995,-0.7789288277221775,2
2022,-1.0398453640555,-0.7197766062250013,-0.8346552886421312,0
2023,1.7158896768877527,2.755735040943253,3.475511647168254,0
2024,1.7704898043152628,0.05460012742751008,-2.7011349135157428,2
