year,position,velocity,acceleration,saddle_score_phase1
1974,0.0,,,0
1975,-5.0,-5.0,,0
1976,0.40422604172723364,5.404226041727234,10.404226041727235,0
1977,0.39283710065920463,-0.011388941068029013,-5.415614982795263,1
1978,0.3823595564509583,-0.010477544208246314,0.0009113968597826982,2
1979,0.37267799624997267,-0.00968156020098565,0.0007959840072606639,2
1980,0.3636964837266401,-0.008981512523332569,0.0007000476776530817,2
1981,-5.0,-5.36369648372664,-5.3547149712033075,0
1982,0.5011366768873158,5.501136676887316,10.864833160613955,0
1983,0.4900854954141911,-0.011051181473124672,-5.5121878583604405,1
1984,0.4797362176005393,-0.010349277813651803,0.0007019036594728689,2
1985,0.47001740506675826,-0.00971881253378104,0.0006304652798707622,2
1986,0.4608674198801683,-0.009149985186589937,0.0005688273471911032,2
1987,-4.916133300481855,-5.377000720362023,-5.367850735175433,0
1988,0.5546830773790372,5.470816377860892,10.847817098222915,0
1989,0.5446441815567162,-0.010038895822320981,-5.480855273683213,1
1990,-5.0,-5.544644181556716,-5.534605285734395,0
1991,-5.0,0.0,5.544644181556716,1
1992,-4.430803490471233,0.5691965095287674,0.5691965095287674,0
1993,0.7819982286982574,5.21280171916949,4.6436052096407225,0
1994,0.7381025858331327,-0.04389564286512471,-5.256697362034615,1
1995,-1.5448705961486375,-2.2829731819817702,-2.2390775391166455,0
1996,0.32062356846298457,1.865494164611622,4.148467346593392,0
1997,0.645324324686511,0.32470075622352645,-1.5407934083880956,1
1998,-1.3171366790743448,-1.9624610037608559,-2.2871617599843823,0
1999,-2.178796046477335,-0.8616593674029902,1.1008016363578657,1
2000,-5.0,-2.821203953522665,-1.9595445861196747,0
2001,-4.492855009510811,0.5071449904891887,3.3283489440118537,0
2002,-3.666512513297646,0.8263424962131651,0.3191975057239764,0
2003,-3.180024097512323,0.4864884157853231,-0.33985408042784204,1
2004,-1.432632291921958,1.747391805590365,1.260903389805042,0
2005,-0.18337431308941277,1.2492579788325453,-0.4981338267578197,1
2006,-0.7393374512764659,-0.5559631381870531,-1.8052211170195984,0
2007,-1.32650425815652,-0.5871668068800542,-0.031203668693001063,0
2008,-1.2650920441533535,0.06141221400316654,0.6485790208832207,1
2009,0.744269400938177,2.0093614450915305,1.947949231088364,0
2010,0.781599125872444,0.037329724934267006,-1.9720317201572635,2
2011,-0.14322141376562314,-0.9248205396380671,-0.9621502645723341,0
2012,-0.01135908390437912,0.13186232986124402,1.0566828694993111,1
2013,0.3069936468474648,0.3183527307518439,0.18649040089059987,0
2014,0.0405437616692943,-0.2664498851781705,-0.5848026159300144,0
2015,-0.4643254939122672,-0.5048692555815615,-0.238419370403391,0
2016,-1.0487679331617055,-0.5844424392494383,-0.0795731836678768,0
2017,-1.4303642133550425,-0.381596280193337,0.20284615905610126,1
2018,-1.6133953028813868,-0.18303108952634428,0.19856519066699274,2
2019,-0.7636700897251867,0.8497252131562001,1.0327563026825444,0
2020,0.9139039001706752,1.677573989895862,0.8278487767396618,0
2021,1.2643151549849527,0.3504112548142775,-1.3271627350815844,1
2022,0.1081066873386769,-1.1562084676462758,-1.5066197224605533,0
2023,0.08004588982636118,-0.028060797512315716,1.1281476701339601,2
2024,5.0,4.919954110173639,4.9480149076859545,0
