year,position,velocity,acceleration,saddle_score_phase1
1974,0.0,,,0
1975,0.0,0.0,,1
1976,0.0,0.0,0.0,1
1977,0.0,0.0,0.0,1
1978,0.0,0.0,0.0,1
1979,0.0,0.0,0.0,1
1980,0.0,0.0,0.0,1
1981,5.0,5.0,5.0,0
1982,-0.34752402342847866,-5.347524023428479,-10.347524023428479,0
1983,-0.34020690871988357,0.007317114708595085,5.354841138137074,1
1984,-0.33333333333334103,0.006873575386542541,-0.0004435393220525441,2
1985,-0.3268602252303143,0.0064731081030267035,-0.0004004672835158374,2
1986,-0.3207501495498075,0.00611007568050681,-0.0003630324225198933,2
1987,-0.3149703941743791,0.005779755375428408,-0.00033032030507840204,2
1988,5.0,5.314970394174379,5.309190638798951,0
1989,-0.43721465601771126,-5.437214656017711,-10.75218505019209,0
1990,5.0,5.437214656017711,10.874429312035423,0
1991,2.378184361575583,-2.621815638424417,-8.059030294442127,0
1992,3.4756026467855996,1.0974182852100167,3.719233923634434,0
1993,0.09969043978848369,-3.375912206997116,-4.473330492207133,0
1994,0.20205405676699506,0.10236361697851137,3.4782758239756273,1
1995,-2.800576188899178,-3.002630245666173,-3.1049938626446845,0
1996,-1.5270349417979938,1.2735412471011842,4.276171492767357,0
1997,-2.540622673431975,-1.0135877316339812,-2.2871289787351654,0
1998,2.8933359798074623,5.433958653239437,6.4475463848734185,0
1999,2.1385692331161374,-0.7547667466913248,-6.188725399930762,0
2000,1.4293142589771932,-0.7092549741389442,0.04551177255238059,1
2001,0.11717370767389745,-1.3121405513032958,-0.6028855771643515,0
2002,-0.7634857667631509,-0.8806594744370484,0.43148107686624737,1
2003,1.3580127933538853,2.121498560117036,3.0021580345540846,0
2004,-1.9308629587575972,-3.2888757521114824,-5.410374312228519,0
2005,-2.2677897223445203,-0.3369267635869231,2.9519489885245593,1
2006,-1.325917257832141,0.9418724645123793,1.2787992280993024,0
2007,-2.2124071327176136,-0.8864898748854726,-1.8283623393978519,0
2008,-2.8742706927565655,-0.661863560038952,0.22462631484652062,1
2009,-2.9633222657690546,-0.089051573012489,0.572811987026463,2
2010,-4.193712961382119,-1.2303906956130648,-1.1413391226005758,0
2011,-4.510990344338672,-0.3172773829565525,0.9131133126565123,1
2012,-3.904004654995461,0.6069856893432108,0.9242630722997633,0
2013,-4.263190578508712,-0.35918592351325085,-0.9661716128564617,0
2014,-3.5503365194219074,0.7128540590868044,1.0720399826000553,0
2015,-3.4631697056736663,0.08716681374824109,-0.6256872453385633,2
2016,-3.0916739296225226,0.3714957760511437,0.2843289623029026,0
2017,-2.8186517147466463,0.2730222148758763,-0.0984735611752674,1
2018,-2.8239403827883844,-0.005288668041738109,-0.2783108829176144,1
2019,-2.8354878326645583,-0.011547449876173843,-0.006258781834435734,1
2020,-2.4142117545622983,0.42127607810226,0.4328235279784338,0
2021,-2.1927845636740333,0.221427190888265,-0.19984888721399496,1
2022,-2.412152150587454,-0.21936758691342062,-0.44079477780168563,0
2023,-2.6239146050564557,-0.21176245446900177,0.0076051324444188495,1
2024,-2.6235535064674473,0.00036109858900834624,0.21212355305801012,1
