year,position,velocity,acceleration,saddle_score_phase1
1974,0.0,,,0
1975,0.0,0.0,,1
1976,0.0,0.0,0.0,1
1977,0.0,0.0,0.0,1
1978,0.0,0.0,0.0,1
1979,0.0,0.0,0.0,1
1980,0.0,0.0,0.0,1
1981,0.0,0.0,0.0,1
1982,0.0,0.0,0.0,1
1983,0.0,0.0,0.0,1
1984,0.0,0.0,0.0,1
1985,0.0,0.0,0.0,1
1986,0.0,0.0,0.0,1
1987,5.0,5.0,5.0,0
1988,-0.3094922302951213,-5.309492230295121,-10.30949223029512,0
1989,-0.30429030972512194,0.005201920569999352,5.314694150865121,1
1990,-0.2993421700446648,0.004948139680457153,-0.0002537808895421989,2
1991,5.0,5.299342170044665,5.294394030364208,0
1992,5.0,0.0,-5.299342170044665,1
1993,5.0,0.0,0.0,1
1994,5.0,0.0,0.0,1
1995,2.5481066277035724,-2.4518933722964276,-2.4518933722964276,0
1996,0.6136897899483476,-1.9344168377552249,0.5174765345412027,1
1997,1.2089291894042962,0.5952393994559486,2.5296562372111735,0
1998,1.1153085242848517,-0.09362066511944445,-0.6888600645753931,1
1999,2.1650218604927796,1.0497133362079278,1.1433340013273723,0
2000,0.09207453760660922,-2.0729473228861703,-3.122660659094098,0
2001,3.197691726424443,3.105617188817834,5.178564511704004,0
2002,5.0,1.802308273575557,-1.303308915242277,1
2003,5.0,0.0,-1.802308273575557,1
2004,4.752241158917677,-0.24775884108232304,-0.24775884108232304,0
2005,4.738683671326061,-0.013557487591615569,0.23420135349070748,2
2006,3.4100392769792087,-1.3286443943468527,-1.315086906755237,0
2007,3.9332857066773776,0.5232464296981689,1.8518908240450216,0
2008,3.6103489020914363,-0.3229368045859413,-0.8461832342841102,0
2009,5.0,1.3896510979085637,1.712587902494505,0
2010,3.16356251710614,-1.83643748289386,-3.2260885808024238,0
2011,1.6480134247399283,-1.5155490923662116,0.3208883905276485,1
2012,1.3719413322639449,-0.2760720924759834,1.2394769998902282,1
2013,2.407002522905871,1.035061190641926,1.3111332831179094,0
2014,2.331402961298049,-0.075599561607822,-1.110660752249748,1
2015,0.7623315329903066,-1.5690714283077423,-1.4934718666999203,0
2016,1.5772989254815553,0.8149673924912486,2.384038820798991,0
2017,1.7189013506065596,0.14160242512500432,-0.6733649673662443,2
2018,1.0608307797214325,-0.6580705708851271,-0.7996729960101314,0
2019,3.084775643002512,2.0239448632810797,2.682015434166207,0
2020,2.7718286415307656,-0.3129470014717466,-2.3368918647528263,0
2021,1.8854008572226997,-0.8864277843080659,-0.5734807828363193,0
2022,0.7902434316063269,-1.0951574256163727,-0.20872964130830685,0
2023,-0.594824725356025,-1.385068156962352,-0.2899107313459792,0
2024,0.5439855790348789,1.138810304390904,2.523878461353256,0
