year,position,velocity,acceleration,saddle_score_phase1
1974,0.0,,,0
1975,0.0,0.0,,1
1976,0.0,0.0,0.0,1
1977,0.0,0.0,0.0,1
1978,0.0,0.0,0.0,1
1979,0.0,0.0,0.0,1
1980,0.0,0.0,0.0,1
1981,0.0,0.0,0.0,1
1982,0.0,0.0,0.0,1
1983,0.0,0.0,0.0,1
1984,0.0,0.0,0.0,1
1985,0.0,0.0,0.0,1
1986,0.0,0.0,0.0,1
1987,0.0,0.0,0.0,1
1988,0.0,0.0,0.0,1
1989,0.0,0.0,0.0,1
1990,0.0,0.0,0.0,1
1991,5.0,5.0,5.0,0
1992,5.0,0.0,-5.0,1
1993,5.0,0.0,0.0,1
1994,5.0,0.0,0.0,1
1995,5.0,0.0,0.0,1
1996,5.0,0.0,0.0,1
1997,4.368187018284768,-0.6318129817152318,-0.6318129817152318,0
1998,4.027749991227802,-0.3404370270569661,0.2913759546582657,1
1999,3.355737760169749,-0.6720122310580532,-0.3315752040010871,0
2000,3.1791791306469506,-0.17655862952279833,0.49545360153525486,2
2001,2.7834651650172404,-0.3957139656297102,-0.21915533610691185,0
2002,2.6579374598785463,-0.12552770513869405,0.27018626049101613,2
2003,2.3213048829127967,-0.33663257696574966,-0.21110487182705562,0
2004,2.092763520115816,-0.22854136279698078,0.10809121416876888,1
2005,2.1764708331058156,0.08370731298999967,0.31224867578698046,1
2006,1.9587999754141325,-0.21767085769168304,-0.3013781706816827,0
2007,1.8034152212919974,-0.15538475412213515,0.06228610356954789,2
2008,1.9007126554251341,0.09729743413313674,0.2526821882552719,1
2009,1.5599543595938634,-0.3407582958312707,-0.43805572996440745,0
2010,1.672024641178803,0.11207028158493948,0.4528285774162102,1
2011,1.3732953464113207,-0.2987292947674822,-0.4107995763524217,0
2012,1.4274801215725201,0.05418477516119946,0.3529140699286817,1
2013,1.4599897721532393,0.032509650580719196,-0.021675124580480265,2
2014,1.6917046748365872,0.23171490268334782,0.19920525210262863,0
2015,1.5146158972638393,-0.17708877757274788,-0.4088036802560957,1
2016,1.594767031041954,0.08015113377811467,0.25723991135086255,1
2017,1.7085578457424866,0.11379081470053265,0.03363968092241798,1
2018,1.7155632347133531,0.007005388970866555,-0.1067854257296661,2
2019,1.7769481417139108,0.061384907000557654,0.0543795180296911,1
2020,1.626392082568887,-0.1505560591450239,-0.21194096614558156,1
2021,2.2958697896072175,0.6694777070383306,0.8200337661833546,0
2022,2.336152238281745,0.04028244867452724,-0.6291952583638034,2
2023,-0.15131336599146827,-2.487465604273213,-2.5277480529477403,0
2024,-0.14576955495238675,0.005543811039081525,2.4930094153122946,1
